,project_id,program,unit_type,affordability_start_year,affordability_expiration_year,longitude,latitude,total_units,total_affordable_units
112,4066,Developer Incentive,Single Family,2016,2017,-97.69619751,30.29430008,1,1
113,3828,Developer Incentive,Multifamily,2018,2058,-97.787767,30.238968,308,31
114,3610,Developer Incentive,Multifamily,2018,2058,-97.76384152748291,30.2529251388769,350,35
115,4523,NHCD Program,Single Family,2016,2026,-97.83030500000001,30.192655,1,1
116,5328,Developer Incentive,Single Family,2017,2018,-97.69907099999999,30.294896,1,1
117,3755,Developer Incentive,Multifamily,2018,2058,-97.744783,30.283589000000003,464,48
118,4163,Developer Incentive,Single Family,2016,2017,-97.69779968,30.29459953,1,1
119,5624,Developer Incentive,Multifamily,2019,2118,-97.72066,30.28374,1,1
120,3623,Developer Incentive,Multifamily,2018,2117,-97.715425,30.337915000000002,10,1
121,5358,Developer Incentive,Single Family,2017,2018,-97.69865899999999,30.299968,1,1
122,5352,Developer Incentive,Single Family,2017,2018,-97.699597,30.299934999999998,1,1
123,4955,Developer Incentive,Single Family,2016,2017,-97.766632,30.137046,1,1
124,3754,Developer Incentive,Multifamily,2017,2057,-97.743338,30.289641999999997,46,5
125,5551,NHCD Program,Multifamily,2018,2117,-97.72018,30.274379999999997,1,1
126,4522,NHCD Program,Single Family,2016,2026,-97.83030500000001,30.192655,1,1
127,5354,Developer Incentive,Single Family,2017,2018,-97.699187,30.299870000000002,1,1
128,4078,Developer Incentive,Single Family,2016,2017,-97.69680023,30.29430008,1,1
129,3598,Developer Incentive,Multifamily,2016,2056,-97.7379291980952,30.260205393494,326,16
130,5347,Developer Incentive,Single Family,2017,2018,-97.698403,30.29999,1,1
131,4048,Developer Incentive,Single Family,2018,2019,-97.64723000000001,30.287175,1,1
132,4417,Developer Incentive,Single Family,2016,2017,-97.760715,30.179683,1,1
133,3635,NHCD Program,Single Family,2016,2031,-97.6980594008235,30.237751529021,1,1
134,4473,NHCD Program,Single Family,2018,2117,-97.702271,30.268625,1,1
135,5549,NHCD Program,Multifamily,2018,2117,-97.719825,30.275032,1,1
136,4951,Developer Incentive,Single Family,2015,2016,-97.766595,30.136470000000003,1,1
137,4032,Developer Incentive,Single Family,2015,2016,-97.69550323,30.29229927,1,1
138,3854,Developer Incentive,Multifamily,2019,2059,-97.76854200000001,30.152821999999997,304,304
139,3844,Developer Incentive,Multifamily,2019,2024,-97.65079300000001,30.390822999999997,80,80
140,3502,NHCD Program,Multifamily,2016,2115,-97.689883,30.313425,27,27
141,3605,Developer Incentive,Multifamily,2015,2056,-97.7618567455551,30.2559820527283,441,44
142,4083,Developer Incentive,Single Family,2016,2017,-97.6964035,30.29380035,1,1
143,4505,NHCD Program,Single Family,2015,2025,-97.83030500000001,30.192655,1,1
144,4418,Developer Incentive,Single Family,2016,2017,-97.760586,30.179646,1,1
145,3760,Developer Incentive,Multifamily,2020,2025,-97.67551999999999,30.348196,263,263
146,4034,Developer Incentive,Single Family,2015,2016,-97.69556024200001,30.29229927,1,1
147,3951,Developer Incentive,Single Family,2016,2056,-97.727745,30.272365,1,1
148,5487,Developer Incentive,Single Family,2020,2060,-97.718991,30.264685999999998,1,1
149,4444,NHCD Program,Duplex,2017,2116,-97.7285,30.265453000000004,2,2
150,3632,NHCD Program,Single Family,2016,2031,-97.6983545387843,30.238089926833002,1,1
151,4035,Developer Incentive,Single Family,2015,2016,-97.69560242,30.29249954,1,1
152,4065,Developer Incentive,Single Family,2016,2017,-97.69619751,30.29420009,1,1
153,3379,NHCD Program,Duplex,2016,2115,-97.8215019883972,30.180652347617603,2,2
154,3885,Developer Incentive,Single Family,2017,2018,-97.761361,30.179799,1,1
155,3918,Developer Incentive,Multifamily,2019,2059,-97.725487,30.26298,115,20
156,4446,NHCD Program,ADU,2017,2116,-97.708853,30.260303000000004,1,1
157,4053,Developer Incentive,Single Family,2015,2016,-97.69650269,30.29220009,1,1
158,3683,NHCD Program,Single Family,2016,2031,-97.73283498753808,30.268072601579103,1,1
159,4076,Developer Incentive,Single Family,2016,2017,-97.69680023,30.294200899999996,1,1
160,5332,Developer Incentive,Single Family,2017,2018,-97.698601,30.295071999999998,1,1
161,4058,Developer Incentive,Single Family,2016,2017,-97.69609833,30.29249954,1,1
162,3751,Developer Incentive,Multifamily,2018,2023,-97.75509,30.421089000000002,24,24
163,5342,Developer Incentive,Single Family,2017,2018,-97.698502,30.299984999999996,1,1
164,3625,Developer Incentive,Multifamily,2017,2116,-97.7250220502279,30.263268452405,14,0
165,4157,Developer Incentive,Single Family,2016,2017,-97.69830322,30.29459953,1,1
166,4511,NHCD Program,Single Family,2016,2026,-97.83030500000001,30.192655,1,1
167,4055,Developer Incentive,Single Family,2015,2016,-97.69660187,30.29249954,1,1
168,4518,NHCD Program,Single Family,2016,2026,-97.83030500000001,30.192655,1,1
169,4500,NHCD Program,Single Family,2016,2026,-97.83030500000001,30.192655,1,1
170,4954,Developer Incentive,Single Family,2016,2017,-97.76526700000001,30.137309000000002,1,1
171,5400,NHCD Program,Multifamily,2018,2117,-97.719825,30.275032,1,1
172,5592,Developer Incentive,Multifamily,2020,2119,-97.71047276053403,30.285229840237907,1,1
173,4074,Developer Incentive,Single Family,2016,2017,-97.69680023,30.29380035,1,1
174,3395,NHCD Program,FourPlex,2015,2114,-97.8032722816043,30.2276424167489,4,3
175,3883,Developer Incentive,Multifamily,2019,2059,-97.744188,30.285401,439,44
176,4077,Developer Incentive,Single Family,2016,2017,-97.69680023,30.294200899999996,1,1
177,5544,NHCD Program,Multifamily,2018,2117,-97.72018,30.274379999999997,1,1
178,4050,Developer Incentive,Single Family,2015,2016,-97.69599915,30.29220009,1,1
179,4063,Developer Incentive,Single Family,2016,2017,-97.69619751,30.29389954,1,1
180,5245,Developer Incentive,Multifamily,2019,2059,-97.725581,30.393743,363,31
181,3911,NHCD Program,Single Family,2015,2114,-97.730419,30.270767,1,1
182,4529,NHCD Program,Single Family,2017,2027,-97.83030500000001,30.192655,1,1
183,5356,Developer Incentive,Single Family,2017,2018,-97.698859,30.299964000000003,1,1
184,4416,Developer Incentive,Single Family,2017,2018,-97.760856,30.17972,1,1
185,4025,Developer Incentive,Single Family,2015,2016,-97.6964035,30.29269981,1,1
186,5527,Developer Incentive,Multifamily,2019,2118,-97.752302,30.254740999999996,1,1
187,4488,NHCD Program,Single Family,2017,2027,-97.83030500000001,30.192655,1,1
188,3910,NHCD Program,Single Family,2015,2114,-97.730577,30.270771000000003,1,1
