,project_id,program,unit_type,affordability_start_year,affordability_expiration_year,longitude,latitude,total_units,total_affordable_units
133,5593,Developer Incentive,Multifamily,2020,2119,-97.71047276053403,30.285229840237907,1,1
134,4827,Developer Incentive,Single Family,2007,2008,-97.769046,30.139731,1,1
135,4353,Developer Incentive,Single Family,2013,2014,-97.70149994,30.29750061,1,1
136,3658,NHCD Program,Single Family,2007,2017,-97.6917210342038,30.230166795282997,1,1
137,3349,NHCD Program,Single Family,2014,2024,-97.64809070153359,30.2941665072405,1,1
138,4225,Developer Incentive,Single Family,2012,2013,-97.70059967,30.296199800000004,1,1
139,4110,Developer Incentive,Single Family,2008,2009,-97.70359802,30.29089928,1,1
140,5326,Developer Incentive,Single Family,2017,2018,-97.69864399999999,30.294913,1,1
141,3673,NHCD Program,Single Family,2008,2018,-97.69150666050541,30.2290138769242,1,1
142,4389,Developer Incentive,Single Family,2013,2014,-97.70059967,30.29990005,1,1
143,5330,Developer Incentive,Single Family,2017,2018,-97.699467,30.295116999999998,1,1
144,3810,NHCD Program,Single Family,2016,2115,-97.70522199999999,30.264869,1,1
145,4292,Developer Incentive,Single Family,2014,2015,-97.70249939,30.29710007,1,1
146,5074,Developer Incentive,Single Family,2008,2009,-97.69352099999999,30.200378999999998,1,1
147,3676,NHCD Program,Multifamily,2009,2108,-97.78530304307621,30.241970103485603,24,24
148,3430,NHCD Program,Single Family,2013,2023,-97.68143535090108,30.311395045226103,1,1
149,5066,Developer Incentive,Single Family,2008,2018,-97.694755,30.200776,1,1
150,4311,Developer Incentive,Single Family,2013,2014,-97.70259857,30.29850006,1,1
151,5013,Developer Incentive,Single Family,2007,2008,-97.69583,30.196459,1,1
152,3456,NHCD Program,Single Family,2009,2019,-97.7584543716605,30.177851226468803,1,1
153,4442,NHCD Program,Single Family,2017,2116,-97.70835214,30.26228639,1,1
154,4119,Developer Incentive,Single Family,2008,2009,-97.70469666,30.29439926,1,1
155,5184,Developer Incentive,Single Family,2016,2017,-97.701149,30.201621000000003,1,1
156,3310,NHCD Program,Multifamily,2005,2104,-97.7031800065299,30.3314907138636,140,140
157,4793,Developer Incentive,Single Family,2007,2008,-97.76167,30.140669,1,1
158,4385,Developer Incentive,Single Family,2013,2014,-97.70089722,30.29990005,1,1
159,3583,Developer Incentive,Multifamily,2013,2029,-97.7434209056653,30.284941123276703,219,22
160,3308,NHCD Program,Multifamily,2001,2021,-97.67940860874171,30.306600379559303,11,11
161,3611,Developer Incentive,Multifamily,2015,2055,-97.7194720175522,30.2615670180304,177,18
162,4535,NHCD Program,Single Family,2017,2027,-97.83030500000001,30.192655,1,1
163,5608,Developer Incentive,Multifamily,2019,2118,-97.72074599999999,30.283103000000004,1,1
164,3641,NHCD Program,Single Family,2008,2018,-97.69039159976678,30.230530773833298,1,1
165,4890,Developer Incentive,Single Family,2011,2012,-97.767659,30.141721999999998,1,1
166,5109,Developer Incentive,Single Family,2010,2011,-97.697575,30.196034,1,1
167,4968,Developer Incentive,Single Family,2006,2007,-97.693945,30.196594,1,1
168,4811,Developer Incentive,Single Family,2007,2008,-97.76907800000001,30.141596999999997,1,1
169,5361,Developer Incentive,Single Family,2018,2019,-97.698105,30.299961,1,1
170,3297,NHCD Program,Multifamily,2010,2109,-97.704330445112,30.3546533088105,476,215
171,3475,NHCD Program,Single Family,2009,2019,-97.75997633009871,30.1784305448312,1,1
172,3639,NHCD Program,Single Family,2010,2020,-97.6904560483891,30.2308319484342,1,1
173,4080,Developer Incentive,Single Family,2016,2017,-97.69650269,30.294200899999996,1,1
174,3285,NHCD Program,Single Family,2003,2023,-97.7225591677977,30.2820867380412,1,1
175,3418,NHCD Program,Single Family,2013,2023,-97.68201267346741,30.3117352731921,1,1
176,5162,Developer Incentive,Single Family,2013,2014,-97.700301,30.197934000000004,1,1
177,4953,Developer Incentive,Single Family,2015,2016,-97.766733,30.136508000000003,1,1
178,3552,Developer Incentive,Multifamily,2006,2021,-97.74596439606329,30.2849862122157,100,10
179,4769,Developer Incentive,Single Family,2006,2007,-97.770205,30.140652000000003,1,1
180,3354,NHCD Program,Single Family,2012,2022,-97.64787262653691,30.293697807740898,1,1
181,4363,Developer Incentive,Single Family,2013,2014,-97.70149994,30.29929924,1,1
182,4426,Developer Incentive,Single Family,2017,2018,-97.761009,30.179296,1,1
183,3337,NHCD Program,Single Family,2013,2023,-97.6470951888651,30.296572298639603,1,1
184,5136,Developer Incentive,Single Family,2012,2013,-97.700211,30.198313,1,1
185,5123,Developer Incentive,Single Family,2011,2012,-97.696564,30.199177000000002,1,1
186,4284,Developer Incentive,Single Family,2011,2012,-97.70059967,30.29019928,1,1
187,5346,Developer Incentive,Single Family,2017,2018,-97.70016,30.299915999999996,1,1
188,3270,NHCD Program,FourPlex,2012,2111,-97.6795579168422,30.3047649759407,4,4
189,4527,NHCD Program,Single Family,2017,2027,-97.83030500000001,30.192655,1,1
190,3619,Developer Incentive,Multifamily,2018,2058,-97.71570636339581,30.259698282081498,208,21
191,4440,Developer Incentive,Multifamily,2019,2059,-97.743941,30.288071999999996,67,7
192,3436,NHCD Program,Single Family,2009,2019,-97.68117109884209,30.3102970703575,1,1
193,4885,Developer Incentive,Single Family,2011,2012,-97.766103,30.138975,1,1
194,4812,Developer Incentive,Single Family,2007,2008,-97.7697671,30.139646999999997,1,1
195,4037,Developer Incentive,Single Family,2015,2016,-97.69529724,30.29249954,1,1
196,3894,NHCD Program,Multifamily,2018,2033,-97.754254,30.157256,174,157
197,3660,NHCD Program,Single Family,2008,2018,-97.6908113588302,30.230334257617802,1,1
198,3226,NHCD Program,Multifamily,2007,2037,-97.79342653185009,30.1986408937312,15,15
199,5324,Developer Incentive,Single Family,2017,2018,-97.69909200000001,30.29451,1,1
200,5131,Developer Incentive,Single Family,2011,2012,-97.700536,30.199185999999997,1,1
201,3564,Developer Incentive,Multifamily,2008,2023,-97.7450112172395,30.2868533633147,12,1
202,3253,NHCD Program,Single Family,2006,2026,-97.78944398583158,30.1856931860589,4,4
203,4296,Developer Incentive,Single Family,2014,2015,-97.70249939,30.29710007,1,1
204,3466,NHCD Program,Single Family,2009,2019,-97.75895801252491,30.1785558370404,1,1
205,4897,Developer Incentive,Single Family,2012,2013,-97.768564,30.141734999999997,1,1
206,5051,Developer Incentive,Single Family,2008,2009,-97.693537,30.200491999999997,1,1
207,3390,NHCD Program,Multifamily,2014,2054,-97.8900821644269,30.2485593811554,58,58
208,3381,NHCD Program,Duplex,2014,2113,-97.7218158797085,30.281151956440702,2,2
209,4206,Developer Incentive,Single Family,2012,2013,-97.70130157,30.29680061,1,1
210,5338,Developer Incentive,Single Family,2017,2018,-97.698589,30.29471,1,1
211,3233,NHCD Program,Single Family,2009,2049,-97.72855170361281,30.267405274892003,1,1
212,5104,Developer Incentive,Single Family,2010,2011,-97.696888,30.195406,1,1
213,3371,NHCD Program,Single Family,2012,2022,-97.64683485111419,30.294360771458503,1,1
214,3239,NHCD Program,Duplex,2007,2027,-97.72775965021842,30.2679718599611,2,2
215,5353,Developer Incentive,Single Family,2017,2018,-97.699536,30.299905,1,1
216,3858,NHCD Program,FourPlex,2015,2114,-97.80452,30.226519,4,3
217,3306,NHCD Program,Multifamily,2007,2047,-97.7356936462426,30.3542193816473,10,10
218,3491,Private Activity Bonds,Multifamily,2000,2020,-97.68008999334221,30.3216138528759,200,180
219,4855,Developer Incentive,Single Family,2009,2010,-97.768627,30.138978,1,1
220,4104,Developer Incentive,Single Family,2008,2009,-97.70660012799999,30.29260063,1,1
221,5412,Developer Incentive,Multifamily,2020,2060,-97.732588,30.263744,278,41
222,4789,Developer Incentive,Single Family,2007,2008,-97.76907800000001,30.140635999999997,1,1
223,3283,NHCD Program,Duplex,2003,2023,-97.72241774288608,30.2825632988123,2,2
224,4950,Developer Incentive,Single Family,2015,2016,-97.766795,30.136021999999997,1,1
225,3282,NHCD Program,Single Family,2003,2023,-97.7226241091127,30.2825351864182,1,1
226,4926,Developer Incentive,Single Family,2013,2014,-97.76679200000001,30.140718,1,1
227,4040,Developer Incentive,Single Family,2015,2016,-97.69709778,30.29220009,1,1
228,4280,Developer Incentive,Single Family,2012,2013,-97.70030212,30.29089928,1,1
229,4060,Developer Incentive,Single Family,2016,2017,-97.69599915,30.29249954,1,1
230,5470,NHCD Program,Single Family,2012,2027,-97.696935,30.330556,1,1
231,3924,NHCD Program,Single Family,2010,2040,-97.68536,30.258529,1,1
232,4869,Developer Incentive,Single Family,2010,2011,-97.76598299999999,30.138933,1,1
233,4079,Developer Incentive,Single Family,2016,2017,-97.69650269,30.29430008,1,1
234,3434,NHCD Program,Single Family,2013,2023,-97.68097986727359,30.3115479768168,1,1
235,4437,Developer Incentive,Multifamily,2020,2119,-97.710483,30.285681,39,1
236,4172,Developer Incentive,Single Family,2008,2009,-97.70089722,30.29529953,1,1
237,3422,NHCD Program,Single Family,2009,2019,-97.6818365483879,30.311736415954105,1,1
238,3535,Developer Incentive,ADU,2017,2018,-97.67720346704522,30.2617249783709,1,1
239,5065,Developer Incentive,Single Family,2008,2009,-97.694541,30.200927000000004,1,1
240,3370,NHCD Program,Single Family,2012,2022,-97.64679271174809,30.294836202892604,1,1
241,3661,NHCD Program,Single Family,2017,2027,-97.69092374362509,30.2307437676543,1,1
242,3928,NHCD Program,Single Family,2010,2040,-97.684942,30.258237,1,1
243,3438,NHCD Program,Single Family,2009,2019,-97.6813656965333,30.3103249697404,1,1
244,3762,Developer Incentive,Single Family,2017,2018,-97.640101,30.300814000000003,1,1
245,3803,Developer Incentive,Single Family,2013,2014,-97.640624,30.300715999999998,1,1
246,4369,Developer Incentive,Single Family,2013,2014,-97.70159912,30.29980087,1,1
247,3447,NHCD Program,Single Family,2010,2020,-97.6816809075483,30.3109713399894,1,1
248,3609,Developer Incentive,Multifamily,2014,2054,-97.76731465198401,30.2289841389543,336,34
249,5445,NHCD Program,Single Family,1993,2023,-97.724673,30.266166,1,1
250,3309,NHCD Program,Multifamily,2003,2078,-97.70126065123041,30.2726991337306,56,56
251,4778,Developer Incentive,Single Family,2007,2008,-97.768833,30.140466999999997,1,1
252,3560,Developer Incentive,Multifamily,2008,2024,-97.7494596108765,30.2898505758531,79,8
253,5334,Developer Incentive,Single Family,2017,2018,-97.698746,30.298161,1,1
254,4197,Developer Incentive,Single Family,2009,2010,-97.7016983,30.29109955,1,1
255,5607,Developer Incentive,Multifamily,2019,2118,-97.72074599999999,30.283103000000004,1,1
256,3496,NHCD Program,Single Family,2016,2115,-97.7052555359642,30.2651357246132,1,1
257,3542,NHCD Program,Multifamily,2015,2055,-97.84577070886841,30.3990768259772,120,120
258,4087,Developer Incentive,Single Family,2008,2009,-97.70639801,30.29369926,1,1
259,5064,Developer Incentive,Single Family,2008,2009,-97.694424,30.20102,1,1
260,5447,NHCD Program,Single Family,1993,2023,-97.723987,30.266482,1,1
261,5405,Developer Incentive,Multifamily,2016,2115,-97.725032,30.263253999999996,1,1
262,5456,NHCD Program,Single Family,1993,2023,-97.724877,30.265309000000002,1,1
263,3314,NHCD Program,Single Family,2001,2021,-97.72928209643291,30.2686462542793,1,1
264,3897,Developer Incentive,Multifamily,2019,2024,-97.643651,30.406351,324,324
265,3594,Developer Incentive,Multifamily,2017,2057,-97.7427748148446,30.2893207610882,17,2
266,4112,Developer Incentive,Single Family,2008,2009,-97.70359802,30.29059982,1,1
267,3280,NHCD Program,Duplex,2003,2023,-97.7231130036985,30.279913221999998,2,2
268,4347,Developer Incentive,Single Family,2014,2015,-97.70269775,30.29879951,1,1
