ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
2018-2019,1398,The SAFE Alliance,TRAVIS,Private Non Profit Organization,RCCI,TOPFER COTTAGE,06/01/2019 12:00:00 AM,19.0,19.0,0.0,0.0,11159.88
2018-2019,1282,TRAVIS COUNTY JUVENILE PROBATION DEPARTMENT,TRAVIS,Government Agency,RCCI,TRAVIS COUNTY JUVENILE PROBATION DEPT,06/01/2019 12:00:00 AM,86.0,86.0,0.0,0.0,165774.91000000003
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,TRAVIS EARLY COLLEGE H S,05/01/2019 12:00:00 AM,1428.0,938.0,82.0,408.0,546215.81
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,TRAVIS HTS CHARTER,05/01/2019 12:00:00 AM,562.0,326.0,15.0,221.0,249206.00999999998
2018-2019,1063,UNIVERSITY OF TEXAS AT AUSTIN,TRAVIS,Educational Institution,Charter,UNIVERSITY OF TEXAS ELEMENTARY,05/01/2019 12:00:00 AM,297.0,160.0,15.0,121.0,114922.06
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,UPHAUS EARLY CHILDHOOD CENTER,05/01/2019 12:00:00 AM,379.0,379.0,0.0,0.0,286554.0
2018-2019,1071,EANES ISD,TRAVIS,Educational Institution,Public,VALLEY VIEW EL,05/01/2019 12:00:00 AM,478.0,41.0,2.0,434.0,23634.59
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WALNUT CREEK EL,05/01/2019 12:00:00 AM,715.0,715.0,0.0,0.0,527590.7699999999
2018-2019,1057,WAYSIDE SCHOOLS,TRAVIS,Educational Institution,Charter,WAYSIDE ALTAMIRA ACADEMY,05/01/2019 12:00:00 AM,475.0,298.0,40.0,138.0,116709.40000000002
2018-2019,1057,WAYSIDE SCHOOLS,TRAVIS,Educational Institution,Charter,WAYSIDE EDEN PARK ACADEMY,05/01/2019 12:00:00 AM,337.0,157.0,30.0,149.0,58633.22
2018-2019,1057,WAYSIDE SCHOOLS,TRAVIS,Educational Institution,Charter,WAYSIDE REAL LEARNING ACADEMY,05/01/2019 12:00:00 AM,662.0,513.0,44.0,105.0,192322.16000000003
2018-2019,1057,WAYSIDE SCHOOLS,TRAVIS,Educational Institution,Charter,WAYSIDE SCI-TECH MIDDLE AND H S,05/01/2019 12:00:00 AM,598.0,308.0,34.0,255.0,78995.47
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WEBB MIDDLE,05/01/2019 12:00:00 AM,702.0,702.0,0.0,0.0,342089.8400000001
