ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement,Lat,Lng,Address,Zipcode
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLAZIER ELEMENTARY SCHOOL,05/01/2018 12:00:00 AM,864.0,487.0,100.0,277.0,325649.4,30.1561657,-97.7514525,"8601 Vertex Blvd, Austin, TX 78744, USA",78744.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLAZIER ELEMENTARY SCHOOL,05/01/2019 12:00:00 AM,887.0,530.0,90.0,266.0,340216.2,30.1561657,-97.7514525,"8601 Vertex Blvd, Austin, TX 78744, USA",78744.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOONE ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,574.0,240.0,41.0,293.0,172552.61,30.203902600000003,-97.84037640000001,"8101 Croftwood Dr, Austin, TX 78749, USA",78749.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOONE ELEMENTARY AUSTIN,06/01/2017 12:00:00 AM,571.0,252.0,39.0,281.0,181684.97000000003,30.203902600000003,-97.84037640000001,"8101 Croftwood Dr, Austin, TX 78749, USA",78749.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOONE ELEMENTARY AUSTIN,05/01/2018 12:00:00 AM,540.0,220.0,44.0,276.0,135213.40999999995,30.203902600000003,-97.84037640000001,"8101 Croftwood Dr, Austin, TX 78749, USA",78749.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOONE ELEMENTARY AUSTIN,05/01/2019 12:00:00 AM,522.0,230.0,38.0,254.0,134463.09,30.203902600000003,-97.84037640000001,"8101 Croftwood Dr, Austin, TX 78749, USA",78749.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOWIE HIGH SCHOOL AUSTIN,06/01/2016 12:00:00 AM,2902.0,295.0,104.0,2503.0,127119.5,30.187653499999996,-97.8584973,"4103 W Slaughter Ln, Austin, TX 78749, USA",78749.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOWIE HIGH SCHOOL AUSTIN,06/01/2017 12:00:00 AM,2878.0,290.0,77.0,2511.0,117057.5,30.187653499999996,-97.8584973,"4103 W Slaughter Ln, Austin, TX 78749, USA",78749.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOWIE HIGH SCHOOL AUSTIN,05/01/2018 12:00:00 AM,2873.0,250.0,76.0,2546.0,96799.25,30.187653499999996,-97.8584973,"4103 W Slaughter Ln, Austin, TX 78749, USA",78749.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOWIE HIGH SCHOOL AUSTIN,05/01/2019 12:00:00 AM,2919.0,275.0,72.0,2572.0,103394.12,30.187653499999996,-97.8584973,"4103 W Slaughter Ln, Austin, TX 78749, USA",78749.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRENTWOOD ELEMENTARY,06/01/2016 12:00:00 AM,619.0,142.0,27.0,449.0,85060.72000000003,30.3320636,-97.7073887,"601 E St Johns Ave, Austin, TX 78757, USA",78757.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRENTWOOD ELEMENTARY,06/01/2017 12:00:00 AM,654.0,144.0,18.0,492.0,88075.24,30.3320636,-97.7073887,"601 E St Johns Ave, Austin, TX 78757, USA",78757.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRENTWOOD ELEMENTARY,05/01/2018 12:00:00 AM,676.0,124.0,16.0,537.0,70219.52,30.3320636,-97.7073887,"601 E St Johns Ave, Austin, TX 78757, USA",78757.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRENTWOOD ELEMENTARY,05/01/2019 12:00:00 AM,673.0,124.0,15.0,534.0,74853.23999999999,30.3320636,-97.7073887,"601 E St Johns Ave, Austin, TX 78757, USA",78757.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BROOKE ELEMENTARY,06/01/2016 12:00:00 AM,262.0,228.0,19.0,15.0,157767.65000000002,30.2544103,-97.7087015,"3100 E 4th St, Austin, TX 78702, USA",78702.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BROOKE ELEMENTARY,06/01/2017 12:00:00 AM,273.0,237.0,23.0,13.0,183513.94,30.2544103,-97.7087015,"3100 E 4th St, Austin, TX 78702, USA",78702.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BROOKE ELEMENTARY,06/01/2018 12:00:00 AM,226.0,226.0,0.0,0.0,184478.39,30.2544103,-97.7087015,"3100 E 4th St, Austin, TX 78702, USA",78702.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BROOKE ELEMENTARY,05/01/2019 12:00:00 AM,278.0,278.0,0.0,0.0,221718.03,30.2544103,-97.7087015,"3100 E 4th St, Austin, TX 78702, USA",78702.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRYKER WOODS ELEMENTARY,06/01/2016 12:00:00 AM,401.0,33.0,7.0,362.0,23665.61,30.305168100000003,-97.75117490000001,"3309 Kerbey Ln, Austin, TX 78703, USA",78703.0
