SiteName,ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
PEASE EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PEASE EL,06/01/2016 12:00:00 AM,268.0,35.0,12.0,221.0,25769.510000000002
PECAN SPRINGS EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PECAN SPRINGS EL,06/01/2016 12:00:00 AM,478.0,442.0,14.0,22.0,307852.44999999995
PEREZ EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PEREZ EL,06/01/2016 12:00:00 AM,766.0,631.0,67.0,68.0,444505.18
PICKLE ELEMENTARY,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PICKLE ELEMENTARY,06/01/2016 12:00:00 AM,694.0,649.0,26.0,19.0,409275.2400000001
PILLOW EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PILLOW EL,06/01/2016 12:00:00 AM,537.0,349.0,62.0,126.0,228132.06
PLEASANT HILL EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PLEASANT HILL EL,06/01/2016 12:00:00 AM,563.0,458.0,39.0,66.0,310940.29
PREMIER H S AT LANIER,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PREMIER H S AT LANIER,06/01/2016 12:00:00 AM,124.0,95.0,3.0,26.0,18052.100000000002
PREMIER H S AT TRAVIS,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PREMIER H S AT TRAVIS,06/01/2016 12:00:00 AM,130.0,94.0,5.0,31.0,19080.5
READ PRE-K DEMONSTRATION SCH,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,READ PRE-K DEMONSTRATION SCH,06/01/2016 12:00:00 AM,308.0,308.0,0.0,0.0,237025.24
REAGAN H S,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,REAGAN H S,06/01/2016 12:00:00 AM,1265.0,1016.0,66.0,183.0,353797.9599999999
REILLY EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,REILLY EL,06/01/2016 12:00:00 AM,272.0,228.0,16.0,28.0,156168.87
RIDGETOP EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,RIDGETOP EL,06/01/2016 12:00:00 AM,294.0,111.0,13.0,170.0,85555.2
RODRIGUEZ EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,RODRIGUEZ EL,06/01/2016 12:00:00 AM,709.0,643.0,33.0,33.0,543369.1799999999
ROSEDALE DEVELOPMENT CTR.,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ROSEDALE DEVELOPMENT CTR.,06/01/2016 12:00:00 AM,263.0,62.0,6.0,195.0,21162.11
SANCHEZ EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SANCHEZ EL,06/01/2016 12:00:00 AM,403.0,360.0,23.0,20.0,254739.94
SCHOOL FOR YOUNG MEN,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SCHOOL FOR YOUNG MEN,06/01/2016 12:00:00 AM,432.0,379.0,27.0,25.0,289408.0
SCHOOL FOR YOUNG WOMEN,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SCHOOL FOR YOUNG WOMEN,06/01/2016 12:00:00 AM,375.0,318.0,26.0,31.0,202082.81999999998
SIMS EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SIMS EL,06/01/2016 12:00:00 AM,261.0,228.0,12.0,20.0,158535.36000000002
SMALL MS,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SMALL MS,06/01/2016 12:00:00 AM,1004.0,259.0,62.0,684.0,143395.05000000002
ST ELMO EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ST ELMO EL,06/01/2016 12:00:00 AM,300.0,235.0,24.0,41.0,162305.79
SUMMITT EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SUMMITT EL,06/01/2016 12:00:00 AM,838.0,261.0,61.0,517.0,171030.87999999998
SUNSET VALLEY EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SUNSET VALLEY EL,06/01/2016 12:00:00 AM,536.0,314.0,19.0,203.0,229578.74
T A BROWN EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,T A BROWN EL,06/01/2016 12:00:00 AM,366.0,331.0,16.0,18.0,236090.33000000002
TRAVIS H S,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,TRAVIS H S,06/01/2016 12:00:00 AM,1272.0,991.0,93.0,188.0,464745.0900000001
TRAVIS HTS CHARTER,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,TRAVIS HTS CHARTER,06/01/2016 12:00:00 AM,537.0,354.0,12.0,171.0,222214.43000000002
UPHAUS EARLY CHILDHOOD CENTER,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,UPHAUS EARLY CHILDHOOD CENTER,06/01/2016 12:00:00 AM,280.0,256.0,11.0,14.0,180750.00999999998
WALNUT CREEK EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WALNUT CREEK EL,06/01/2016 12:00:00 AM,655.0,572.0,25.0,57.0,347341.13
WEBB MIDDLE,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WEBB MIDDLE,06/01/2016 12:00:00 AM,720.0,664.0,26.0,30.0,355904.64999999997
WEBB PRIMARY CENTER,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WEBB PRIMARY CENTER,06/01/2016 12:00:00 AM,224.0,210.0,8.0,6.0,175872.77999999997
WIDEN EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WIDEN EL,06/01/2016 12:00:00 AM,575.0,500.0,41.0,34.0,384446.36000000004
WILLIAMS EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WILLIAMS EL,06/01/2016 12:00:00 AM,461.0,328.0,50.0,83.0,233202.37
WINN EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WINN EL,06/01/2016 12:00:00 AM,305.0,275.0,14.0,15.0,192906.53
WOOLDRIDGE EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WOOLDRIDGE EL,06/01/2016 12:00:00 AM,639.0,583.0,29.0,27.0,431204.88999999996
WOOTEN EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WOOTEN EL,06/01/2016 12:00:00 AM,616.0,562.0,19.0,35.0,365637.49
ZAVALA EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ZAVALA EL,06/01/2016 12:00:00 AM,379.0,352.0,12.0,15.0,242597.77000000002
ZILKER EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ZILKER EL,06/01/2016 12:00:00 AM,549.0,105.0,23.0,421.0,63445.73
AKINS H S,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AKINS H S,06/01/2017 12:00:00 AM,2640.0,1414.0,290.0,936.0,828531.0399999999
ALLISON EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALLISON EL,06/01/2017 12:00:00 AM,459.0,409.0,18.0,32.0,268526.03
ALTERNATIVE LEARNING CTR,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALTERNATIVE LEARNING CTR,06/01/2017 12:00:00 AM,145.0,111.0,6.0,28.0,84981.0
ANDERSON H S,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANDERSON H S,06/01/2017 12:00:00 AM,2200.0,445.0,87.0,1668.0,193494.49000000002
ANDREWS EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANDREWS EL,06/01/2017 12:00:00 AM,574.0,527.0,23.0,24.0,446195.87000000005
ANN RICHARDS SCHOOL FOR YOUNG WOMEN LEADERS,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANN RICHARDS SCHOOL FOR YOUNG WOMEN LEADERS,06/01/2017 12:00:00 AM,781.0,356.0,91.0,334.0,207208.84999999995
AUSTIN H S,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AUSTIN H S,06/01/2017 12:00:00 AM,2139.0,508.0,122.0,1510.0,197125.4
BAILEY MIDDLE,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BAILEY MIDDLE,06/01/2017 12:00:00 AM,911.0,228.0,65.0,618.0,121894.61000000002
BALDWIN ELEMENTARY,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BALDWIN ELEMENTARY,06/01/2017 12:00:00 AM,798.0,106.0,15.0,677.0,67344.06000000001
BARANOFF EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARANOFF EL,06/01/2017 12:00:00 AM,1022.0,93.0,34.0,894.0,66620.98
BARRINGTON EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARRINGTON EL,06/01/2017 12:00:00 AM,549.0,497.0,28.0,24.0,395714.67999999993
BARTON HILLS EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARTON HILLS EL,06/01/2017 12:00:00 AM,428.0,25.0,2.0,400.0,24352.920000000002
BECKER EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BECKER EL,06/01/2017 12:00:00 AM,428.0,161.0,8.0,258.0,103595.25
BEDICHEK MIDDLE,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BEDICHEK MIDDLE,06/01/2017 12:00:00 AM,891.0,659.0,83.0,149.0,332642.89
BLACKSHEAR EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLACKSHEAR EL,06/01/2017 12:00:00 AM,381.0,261.0,18.0,102.0,172521.19
BLANTON EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLANTON EL,06/01/2017 12:00:00 AM,494.0,358.0,28.0,108.0,230292.07
BLAZIER ELEMENTARY SCHOOL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLAZIER ELEMENTARY SCHOOL,06/01/2017 12:00:00 AM,829.0,502.0,96.0,232.0,354001.17
