ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,JOSLIN ELEMENTARY,06/01/2016 12:00:00 AM,273.0,187.0,22.0,64.0,140329.48
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,KEALING M S,06/01/2016 12:00:00 AM,1201.0,333.0,37.0,831.0,178703.38999999996
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,KIKER ELEMENTARY,06/01/2016 12:00:00 AM,1003.0,47.0,4.0,953.0,36760.150000000016
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,KOCUREK ELEMENTARY,06/01/2016 12:00:00 AM,498.0,286.0,45.0,166.0,182517.6
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LAMAR MIDDLE,06/01/2016 12:00:00 AM,969.0,249.0,51.0,670.0,118198.69
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LANGFORD ELEMENTARY,06/01/2016 12:00:00 AM,693.0,623.0,36.0,34.0,457776.29
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LANIER HIGH SCHOOL AUSTIN,06/01/2016 12:00:00 AM,1624.0,1359.0,96.0,169.0,530868.23
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LASA HIGH SCHOOL,06/01/2016 12:00:00 AM,1016.0,65.0,29.0,922.0,37311.94
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LBJ HIGH SCHOOL,06/01/2016 12:00:00 AM,845.0,635.0,51.0,158.0,270264.05
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LEE ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,377.0,47.0,11.0,319.0,34828.490000000005
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LINDER ELEMENTARY,06/01/2016 12:00:00 AM,366.0,309.0,27.0,31.0,217086.02
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MAPLEWOOD ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,457.0,178.0,23.0,256.0,122263.82
