CAMPUS,CD200A001S18R,CD200AM01S18R,CD200AR01S18R,CD300A001S18R,CD300AM01S18R,CD300AR01S18R,CD400A001S18R,CD400AM01S18R,CD400AR01S18R,CDA00A001S18R,CDA00AM01S18R,CDA00AR01S18R,CDB00A001S18R,CDB00AM01S18R,CDB00AR01S18R,CDE00A001S18R,CDE00AM01S18R,CDE00AR01S18R,CDF00A001S18R,CDF00AM01S18R,CDF00AR01S18R,CDH00A001S18R,CDH00AM01S18R,CDH00AR01S18R,CDI00A001S18R,CDI00AM01S18R,CDI00AR01S18R,CDL00A001S18R,CDL00AM01S18R,CDL00AR01S18R,CDM00A001S18R,CDM00AM01S18R,CDM00AR01S18R,CDR00A001S18R,CDR00AM01S18R,CDR00AR01S18R,CDS00A001S18R,CDS00AM01S18R,CDS00AR01S18R,CDW00A001S18R,CDW00AM01S18R,CDW00AR01S18R
'227901144,.,.,.,.,.,.,.,.,.,78,83,78,-1,-1,-1,77,82,77,83,84,80,77,82,76,-1,-1,-1,77,82,75,75,82,76,76,81,76,49,-1,-1,95,-1,-1
'227901145,-1,-1,-1,-1,-1,-1,.,.,.,76,85,78,73,72,-1,75,85,78,76,89,76,77,88,78,.,.,.,66,82,-1,75,82,79,65,80,-1,58,-1,63,.,.,.
'227901146,100,100,100,92,-1,-1,.,.,.,86,85,93,-1,-1,-1,67,68,80,86,80,94,81,86,89,.,.,.,-1,-1,-1,86,88,93,70,-1,84,70,-1,80,89,84,96
'227901147,79,-1,-1,90,91,-1,-1,-1,-1,75,81,79,-1,-1,-1,66,74,70,77,83,82,70,79,74,.,.,.,70,84,70,72,79,77,58,72,65,47,-1,-1,83,86,90
'227901148,94,92,96,94,94,89,.,.,.,81,82,80,-1,-1,-1,64,66,61,82,82,82,68,70,67,-1,-1,-1,63,66,58,81,83,78,62,66,58,52,55,47,92,93,92
'227901149,-1,-1,-1,-1,-1,-1,.,.,.,67,84,56,-1,-1,-1,66,84,55,68,83,58,68,85,56,.,.,.,65,85,53,66,85,55,63,84,50,55,75,-1,-1,-1,-1
'227901150,-1,-1,-1,.,.,.,-1,-1,-1,78,91,67,74,91,60,78,91,67,85,93,76,82,90,-1,.,.,.,82,92,-1,70,88,-1,71,90,-1,-1,-1,-1,.,.,.
'227901151,-1,-1,-1,-1,-1,-1,.,.,.,67,73,67,-1,-1,-1,62,68,61,73,75,74,66,72,66,-1,-1,-1,53,60,-1,62,71,60,56,65,-1,-1,-1,-1,76,83,73
'227901152,-1,-1,-1,-1,-1,-1,.,.,.,63,72,54,-1,-1,-1,62,71,53,67,73,61,64,73,55,.,.,.,59,69,48,61,71,49,58,69,49,-1,-1,-1,-1,-1,-1
'227901154,97,100,100,89,92,84,-1,-1,-1,92,95,94,80,-1,-1,66,70,-1,94,96,97,81,84,84,.,.,.,61,70,61,90,94,91,66,75,68,66,-1,-1,95,97,96
'227901155,98,94,100,95,93,97,.,.,.,93,93,95,83,-1,-1,89,94,94,95,95,96,93,94,94,.,.,.,80,84,-1,91,92,94,79,82,82,59,54,-1,93,94,95
'227901156,.,.,.,.,.,.,.,.,.,71,78,72,-1,-1,-1,69,75,70,72,77,74,72,79,74,.,.,.,75,87,77,70,78,70,65,76,66,-1,-1,-1,85,-1,-1
