CAMPUS,C200A001S15R,C200AM01S15R,C200AR01S15R,C300A001S15R,C300AM01S15R,C300AR01S15R,C400A001S15R,C400AM01S15R,C400AR01S15R,CA00A001S15R,CA00AM01S15R,CA00AR01S15R,CB00A001S15R,CB00AM01S15R,CB00AR01S15R,CE00A001S15R,CE00AM01S15R,CE00AR01S15R,CF00A001S15R,CF00AM01S15R,CF00AR01S15R,CH00A001S15R,CH00AM01S15R,CH00AR01S15R,CI00A001S15R,CI00AM01S15R,CI00AR01S15R,CL00A001S15R,CL00AM01S15R,CL00AR01S15R,CM00A001S15R,CM00AM01S15R,CM00AR01S15R,CR00A001S15R,CR00AM01S15R,CR00AR01S15R,CS00A001S15R,CS00AM01S15R,CS00AR01S15R,CW00A001S15R,CW00AM01S15R,CW00AR01S15R
'227901161,-1,.,-1,100,.,-1,.,.,.,73,.,77,72,.,69,72,.,76,78,.,84,74,.,78,.,.,.,71,.,75,69,.,71,70,.,75,33,.,30,50,.,-1
'227901162,-1,.,-1,.,.,.,.,.,.,59,.,64,53,.,61,58,.,63,60,.,64,59,.,63,-1,.,-1,54,.,58,58,.,63,51,.,58,-1,.,-1,71,.,75
'227901163,-1,.,-1,58,.,63,.,.,.,81,.,87,79,.,86,81,.,87,82,.,87,82,.,88,-1,.,-1,82,.,88,80,.,86,79,.,86,37,.,44,75,.,-1
'227901164,.,.,.,.,.,.,.,.,.,63,.,68,50,.,69,63,.,69,64,.,70,64,.,69,-1,.,-1,65,.,70,63,.,67,62,.,67,-1,.,-1,-1,.,-1
'227901165,-1,.,-1,100,.,-1,.,.,.,77,.,81,100,.,100,77,.,81,81,.,80,76,.,81,.,.,.,74,.,78,74,.,82,74,.,79,45,.,62,-1,.,-1
'227901166,100,.,-1,100,.,100,.,.,.,77,.,83,71,.,86,75,.,80,81,.,87,75,.,82,.,.,.,69,.,77,73,.,78,65,.,74,100,.,100,85,.,76
'227901168,-1,.,-1,-1,.,-1,.,.,.,71,.,72,73,.,78,71,.,72,78,.,78,71,.,72,-1,.,-1,74,.,73,64,.,64,69,.,69,-1,.,-1,-1,.,-1
'227901170,100,.,100,-1,.,-1,.,.,.,89,.,93,85,.,100,83,.,90,87,.,91,83,.,89,-1,.,-1,67,.,86,91,.,96,75,.,86,66,.,74,95,.,96
'227901171,.,.,.,.,.,.,.,.,.,72,.,78,84,.,100,68,.,75,74,.,81,71,.,75,.,.,.,60,.,66,71,.,76,62,.,71,56,.,-1,-1,.,-1
'227901172,88,.,90,100,.,-1,.,.,.,77,.,81,75,.,77,70,.,77,80,.,83,71,.,78,.,.,.,63,.,70,74,.,80,56,.,66,52,.,55,87,.,86
'227901173,81,.,90,100,.,100,.,.,.,80,.,85,80,.,83,77,.,82,84,.,87,76,.,81,.,.,.,72,.,79,76,.,83,72,.,78,55,.,62,93,.,96
'227901174,.,.,.,.,.,.,.,.,.,50,.,55,63,.,61,50,.,55,57,.,61,50,.,55,-1,.,-1,45,.,51,44,.,49,44,.,51,-1,.,-1,-1,.,-1
'227901175,.,.,.,.,.,.,.,.,.,56,.,66,46,.,57,56,.,66,61,.,71,57,.,66,.,.,.,57,.,67,51,.,61,51,.,61,-1,.,-1,-1,.,-1
'227901176,-1,.,-1,.,.,.,.,.,.,66,.,67,100,.,-1,63,.,65,63,.,67,63,.,65,.,.,.,52,.,53,69,.,67,53,.,55,46,.,39,100,.,100
'227901177,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901178,-1,.,-1,.,.,.,.,.,.,63,.,66,63,.,66,63,.,66,65,.,71,63,.,67,.,.,.,60,.,64,60,.,63,59,.,64,-1,.,-1,-1,.,-1
'227901179,85,.,89,90,.,96,-1,.,-1,89,.,91,73,.,76,64,.,72,93,.,92,80,.,85,-1,.,-1,75,.,89,84,.,91,69,.,79,43,.,53,95,.,96
'227901180,100,.,100,100,.,100,.,.,.,98,.,99,100,.,100,96,.,100,98,.,100,98,.,99,-1,.,-1,93,.,96,97,.,99,88,.,96,87,.,100,97,.,99
'227901181,92,.,93,98,.,98,.,.,.,94,.,96,100,.,100,69,.,79,95,.,97,86,.,90,.,.,.,91,.,94,92,.,95,79,.,86,61,.,65,96,.,99
'227901182,95,.,95,100,.,100,.,.,.,96,.,97,86,.,80,93,.,93,98,.,100,93,.,95,.,.,.,93,.,100,95,.,95,86,.,92,84,.,88,98,.,99
'227901183,100,.,100,94,.,100,.,.,.,92,.,94,86,.,89,87,.,90,93,.,95,90,.,94,-1,.,-1,92,.,100,90,.,92,66,.,75,71,.,71,93,.,93
'227901184,100,.,100,98,.,98,.,.,.,97,.,99,-1,.,-1,90,.,100,97,.,99,97,.,100,.,.,.,96,.,100,97,.,99,87,.,95,80,.,88,97,.,99
'227901185,93,.,100,100,.,100,.,.,.,82,.,88,81,.,85,81,.,87,84,.,90,80,.,86,-1,.,-1,78,.,85,80,.,85,74,.,83,42,.,53,96,.,100
'227901186,.,.,.,100,.,100,.,.,.,82,.,83,86,.,-1,82,.,82,87,.,89,81,.,82,.,.,.,80,.,81,76,.,75,81,.,82,-1,.,-1,-1,.,-1
'227901187,100,.,100,97,.,96,.,.,.,94,.,95,-1,.,-1,65,.,70,94,.,94,84,.,85,.,.,.,67,.,67,94,.,95,77,.,76,83,.,80,97,.,97
'227901188,-1,.,.,.,.,.,.,.,.,72,.,72,80,.,81,72,.,71,80,.,78,71,.,70,-1,.,-1,72,.,71,66,.,66,72,.,71,71,.,-1,100,.,-1
'227901189,.,.,.,-1,.,-1,.,.,.,72,.,77,68,.,73,72,.,77,75,.,80,73,.,78,.,.,.,73,.,79,70,.,74,68,.,76,60,.,-1,100,.,-1
'227901190,-1,.,-1,-1,.,-1,.,.,.,72,.,77,64,.,71,70,.,75,76,.,81,71,.,76,.,.,.,65,.,71,68,.,72,65,.,71,-1,.,-1,85,.,93
'227901192,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901193,.,.,.,.,.,.,.,.,.,73,.,73,-1,.,-1,71,.,71,85,.,85,74,.,74,.,.,.,74,.,74,65,.,65,72,.,72,-1,.,-1,-1,.,-1
'227901249,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901250,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901251,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227904001,84,76,77,89,91,84,-1,.,-1,81,73,74,75,67,68,75,71,67,84,76,81,79,74,73,-1,-1,-1,55,61,42,78,70,69,69,64,60,44,43,34,88,78,84
'227904003,82,83,74,87,95,82,-1,.,-1,70,68,62,65,69,54,67,66,59,73,65,68,67,64,59,71,.,-1,50,61,42,67,70,56,58,63,49,40,44,31,83,77,75
'227904004,92,94,89,96,93,94,84,-1,78,89,89,85,86,84,81,82,84,77,92,91,89,86,87,80,100,.,-1,65,75,56,87,88,81,78,84,70,80,93,75,94,96,91
'227904008,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227904041,79,-1,83,91,100,86,.,.,.,77,100,82,69,100,74,68,100,75,79,100,85,72,100,79,67,.,-1,54,100,61,75,100,79,58,100,68,22,-1,23,87,100,91
'227904042,88,-1,90,90,100,85,-1,.,-1,79,99,82,73,100,78,75,99,79,79,98,82,78,98,82,-1,.,-1,56,100,64,78,100,82,66,97,71,52,.,65,77,100,83
'227904043,92,-1,91,94,100,97,-1,.,-1,86,100,88,78,100,82,78,100,83,87,100,90,84,100,87,67,.,-1,62,-1,71,85,100,87,69,100,76,41,-1,43,91,100,91
'227904045,88,100,100,92,100,92,-1,.,-1,71,100,77,65,100,73,67,100,75,75,100,83,66,100,74,-1,.,-1,54,100,63,67,100,72,56,100,67,16,.,28,83,-1,86
'227904046,82,100,85,95,100,100,-1,.,-1,89,99,93,78,100,83,78,100,84,90,100,94,86,100,91,100,-1,-1,67,-1,76,88,97,92,72,100,80,39,.,45,95,97,97
'227904048,88,-1,90,91,-1,93,100,-1,-1,84,100,88,85,100,90,73,100,78,87,100,90,76,100,81,85,-1,-1,52,.,61,81,100,86,64,-1,73,49,.,57,92,100,95
'227904101,71,.,75,95,.,90,.,.,.,80,.,83,69,.,73,66,.,69,79,.,80,75,.,79,100,.,-1,63,.,63,81,.,85,60,.,65,35,.,36,88,.,90
'227904102,-1,.,-1,93,.,95,.,.,.,82,.,86,88,.,88,78,.,86,86,.,88,78,.,84,.,.,.,75,.,81,79,.,85,76,.,81,36,.,48,90,.,92
'227904103,79,.,75,88,.,91,-1,.,-1,79,.,84,72,.,74,67,.,73,83,.,88,77,.,82,-1,.,-1,71,.,78,76,.,80,67,.,71,43,.,43,87,.,92
'227904104,75,.,71,86,.,79,-1,.,-1,80,.,80,75,.,71,75,.,72,84,.,82,80,.,81,.,.,.,76,.,74,77,.,77,71,.,70,64,.,63,85,.,88
'227904105,67,.,-1,93,.,91,-1,.,-1,63,.,69,57,.,65,62,.,69,65,.,70,61,.,68,.,.,.,63,.,68,62,.,68,58,.,65,13,.,18,61,.,61
'227904106,77,.,89,93,.,96,-1,.,-1,75,.,82,64,.,70,67,.,74,79,.,85,72,.,82,.,.,.,70,.,79,71,.,79,55,.,66,30,.,42,83,.,87
'227904107,100,.,100,53,.,55,.,.,.,62,.,65,61,.,67,60,.,63,67,.,70,60,.,62,.,.,.,59,.,60,56,.,59,52,.,54,19,.,29,76,.,79
'227904108,61,.,69,100,.,100,.,.,.,73,.,83,51,.,60,55,.,65,74,.,85,73,.,86,.,.,.,77,.,89,72,.,81,49,.,67,57,.,63,88,.,97
'227904109,81,.,89,82,.,87,.,.,.,75,.,79,66,.,75,71,.,74,76,.,81,72,.,74,.,.,.,71,.,75,74,.,77,67,.,71,-1,.,-1,91,.,95
'227904110,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227904111,83,.,-1,90,.,92,.,.,.,76,.,82,64,.,71,76,.,82,73,.,81,75,.,81,.,.,.,81,.,85,79,.,84,72,.,79,-1,.,-1,95,.,100
'227904112,95,.,95,89,.,90,.,.,.,91,.,94,73,.,80,83,.,86,94,.,97,93,.,96,-1,.,-1,82,.,100,88,.,90,72,.,78,42,.,45,93,.,95
'227904113,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227904114,69,.,78,83,.,83,-1,.,-1,74,.,78,58,.,69,63,.,68,80,.,87,73,.,76,.,.,.,66,.,69,67,.,67,61,.,66,27,.,37,86,.,87
'227904115,89,.,95,96,.,93,.,.,.,92,.,94,88,.,89,90,.,92,92,.,94,90,.,94,-1,.,-1,79,.,81,91,.,94,73,.,80,56,.,61,93,.,95
'227904116,92,.,89,95,.,100,.,.,.,83,.,86,85,.,88,72,.,74,86,.,88,77,.,79,.,.,.,72,.,74,81,.,83,73,.,75,50,.,50,92,.,95
'227904117,78,.,100,92,.,96,.,.,.,76,.,82,49,.,58,68,.,75,75,.,81,80,.,85,.,.,.,85,.,90,78,.,84,66,.,73,-1,.,-1,75,.,77
'227904118,93,.,94,95,.,96,.,.,.,85,.,90,72,.,76,82,.,91,89,.,91,82,.,89,.,.,.,79,.,89,82,.,88,63,.,77,53,.,70,88,.,92
'227904119,83,.,-1,-1,.,-1,.,.,.,61,.,69,56,.,65,61,.,69,67,.,73,62,.,69,.,.,.,60,.,68,56,.,65,57,.,65,11,.,-1,61,.,63
'227904120,47,.,63,92,.,100,.,.,.,79,.,87,70,.,84,75,.,85,77,.,85,80,.,87,-1,.,-1,78,.,89,81,.,89,64,.,79,43,.,-1,89,.,93
'227907001,56,-1,47,-1,.,-1,.,.,.,65,52,56,58,41,51,63,51,55,69,56,61,68,57,58,83,-1,-1,50,54,36,61,49,51,58,50,48,28,22,17,78,65,67
'227907002,.,.,.,-1,.,.,.,.,.,55,53,50,49,45,56,55,53,50,57,57,57,56,58,47,-1,.,-1,54,50,47,53,50,45,54,48,50,-1,-1,-1,57,-1,56
'227907004,100,-1,-1,88,-1,82,-1,.,-1,86,80,82,77,56,76,83,74,79,90,79,90,86,84,82,.,.,.,61,-1,55,82,81,75,68,72,56,46,-1,-1,93,100,88
'227907041,71,-1,71,-1,.,-1,.,.,.,61,92,65,61,96,64,58,91,63,64,92,71,59,90,64,.,.,.,32,100,35,57,92,59,43,89,48,21,-1,-1,73,94,73
'227907042,77,.,88,79,100,81,100,-1,-1,61,94,71,61,94,73,59,92,69,64,95,75,58,92,69,.,.,.,28,.,38,58,92,67,47,88,58,9,.,22,71,100,80
'227907101,80,.,86,.,.,.,.,.,.,67,.,72,62,.,73,62,.,67,72,.,77,64,.,68,-1,.,-1,48,.,53,62,.,67,56,.,62,48,.,56,89,.,88
'227907102,71,.,70,92,.,93,-1,.,-1,77,.,82,75,.,79,71,.,77,80,.,86,74,.,79,.,.,.,69,.,73,75,.,78,66,.,71,45,.,-1,86,.,95
'227907104,-1,.,-1,.,.,.,.,.,.,39,.,43,33,.,36,39,.,43,44,.,48,39,.,43,-1,.,-1,33,.,39,35,.,39,33,.,38,-1,.,-1,75,.,83
'227907105,-1,.,-1,-1,.,-1,.,.,.,54,.,62,39,.,42,52,.,59,61,.,67,53,.,60,.,.,.,49,.,58,49,.,57,46,.,54,-1,.,-1,71,.,83
'227907106,63,.,78,-1,.,-1,-1,.,-1,60,.,67,60,.,71,57,.,64,64,.,70,57,.,62,-1,.,-1,54,.,58,55,.,64,49,.,57,-1,.,-1,77,.,84
'227907107,-1,.,-1,.,.,.,.,.,.,53,.,58,50,.,59,53,.,58,61,.,67,54,.,57,-1,.,-1,48,.,53,46,.,49,52,.,56,-1,.,-1,-1,.,-1
'227907108,58,.,62,83,.,83,.,.,.,69,.,77,53,.,69,68,.,76,71,.,81,72,.,81,.,.,.,66,.,73,67,.,74,63,.,71,-1,.,-1,81,.,83
'227909001,97,93,98,99,100,99,.,.,.,98,98,98,100,-1,100,95,100,90,99,98,99,98,97,97,100,-1,-1,88,-1,93,98,98,97,93,94,88,89,90,84,99,99,98
'227909005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227909041,97,100,97,99,100,98,-1,.,-1,98,100,99,100,-1,100,94,100,96,98,100,99,97,100,96,100,-1,-1,83,.,76,98,100,98,88,100,93,88,-1,85,98,100,99
'227909042,96,100,97,99,100,100,.,.,.,97,100,98,89,.,-1,96,-1,95,97,100,98,96,100,99,-1,.,-1,-1,.,-1,97,100,99,85,-1,93,76,-1,88,97,100,98
'227909101,100,.,100,100,.,100,.,.,.,95,.,96,-1,.,-1,77,.,88,96,.,98,95,.,98,-1,.,-1,93,.,100,95,.,95,92,.,93,65,.,64,95,.,96
'227909102,94,.,100,95,.,96,.,.,.,96,.,97,-1,.,-1,93,.,100,98,.,99,85,.,92,-1,.,-1,70,.,86,94,.,95,83,.,88,75,.,72,98,.,98
'227909103,96,.,100,82,.,89,.,.,.,95,.,98,-1,.,-1,93,.,100,96,.,98,95,.,98,.,.,.,100,.,100,95,.,98,81,.,93,79,.,91,96,.,99
'227909104,100,.,100,100,.,100,.,.,.,98,.,99,.,.,.,-1,.,-1,98,.,99,89,.,94,.,.,.,-1,.,-1,97,.,98,88,.,95,86,.,94,98,.,99
'227909105,100,.,100,96,.,99,.,.,.,95,.,97,.,.,.,-1,.,-1,96,.,98,93,.,96,.,.,.,-1,.,-1,95,.,97,79,.,88,82,.,86,95,.,96
'227909106,100,.,100,100,.,100,.,.,.,95,.,98,83,.,-1,-1,.,-1,97,.,98,88,.,94,-1,.,.,-1,.,-1,94,.,97,73,.,84,81,.,90,96,.,98
'227910001,78,-1,75,54,-1,47,-1,-1,-1,73,72,61,70,70,56,72,72,59,78,77,67,73,72,61,-1,.,-1,55,62,40,69,67,55,65,68,50,38,43,26,79,77,74
'227910002,-1,.,.,-1,-1,.,.,.,.,56,46,59,50,-1,50,55,45,59,59,43,66,55,48,59,-1,.,-1,49,-1,56,54,48,56,56,46,60,47,-1,71,68,-1,80
'227910041,82,-1,90,81,-1,75,.,.,.,68,100,74,63,-1,72,66,100,73,70,100,76,67,100,74,100,.,-1,44,.,53,66,100,73,55,100,63,39,-1,44,75,100,79
'227910042,-1,.,-1,94,-1,83,.,.,.,69,100,71,64,-1,71,68,100,69,73,100,75,69,100,70,-1,.,-1,41,-1,44,66,100,66,49,100,52,36,-1,27,81,100,85
'227910043,89,-1,88,-1,.,-1,.,.,.,61,98,65,58,100,70,58,98,62,65,97,67,61,98,63,-1,.,-1,35,86,38,57,100,62,48,96,52,18,.,26,57,-1,58
'227910101,-1,.,-1,100,.,-1,.,.,.,67,.,67,74,.,77,65,.,65,73,.,72,67,.,67,-1,.,-1,60,.,59,61,.,62,57,.,57,-1,.,-1,63,.,68
'227910106,-1,.,-1,-1,.,-1,.,.,.,73,.,71,95,.,100,70,.,69,78,.,77,72,.,70,-1,.,-1,67,.,65,68,.,65,69,.,67,-1,.,-1,71,.,70
'227910107,-1,.,-1,.,.,.,.,.,.,61,.,69,100,.,-1,61,.,68,66,.,73,60,.,68,-1,.,-1,57,.,65,56,.,65,59,.,66,-1,.,-1,-1,.,-1
'227910108,-1,.,-1,.,.,.,.,.,.,51,.,56,49,.,52,50,.,56,56,.,62,51,.,56,.,.,.,56,.,59,44,.,48,43,.,49,46,.,-1,56,.,67
'227910109,63,.,-1,-1,.,-1,.,.,.,46,.,51,46,.,54,43,.,48,52,.,51,45,.,48,.,.,.,40,.,42,42,.,50,39,.,43,29,.,-1,52,.,54
'227910110,-1,.,-1,56,.,-1,.,.,.,59,.,67,48,.,59,58,.,66,64,.,73,59,.,66,-1,.,-1,46,.,54,53,.,60,46,.,55,62,.,67,70,.,82
'227910111,-1,.,-1,.,.,.,.,.,.,62,.,60,-1,.,-1,61,.,58,65,.,64,63,.,61,-1,.,-1,55,.,54,59,.,56,55,.,53,55,.,-1,64,.,56
'227910112,75,.,-1,.,.,.,.,.,.,67,.,70,56,.,54,68,.,70,70,.,73,68,.,71,.,.,.,66,.,70,65,.,67,62,.,64,-1,.,-1,93,.,100
'227912001,93,-1,86,-1,.,-1,.,.,.,87,82,79,-1,-1,-1,82,84,72,92,84,91,83,76,74,-1,.,-1,50,-1,-1,82,80,68,68,62,51,73,-1,62,88,86,80
'227912041,87,.,78,100,.,100,-1,.,-1,89,100,92,-1,.,-1,77,-1,85,88,100,93,82,-1,88,.,.,.,55,.,80,90,100,92,71,.,79,91,.,93,91,100,94
'227912101,-1,.,-1,.,.,.,.,.,.,94,.,95,-1,.,-1,93,.,93,95,.,95,96,.,96,-1,.,-1,92,.,91,93,.,95,86,.,87,78,.,-1,96,.,97
'227913001,96,100,92,97,100,96,.,.,.,94,93,91,83,-1,79,75,79,66,96,94,94,84,83,77,100,-1,-1,50,77,38,93,92,88,85,88,77,76,71,68,97,96,95
'227913002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227913041,96,100,98,99,100,98,-1,.,-1,97,100,98,100,-1,100,85,-1,91,97,100,97,92,100,93,100,.,-1,76,.,88,96,100,98,88,100,92,81,.,84,97,100,98
'227913042,99,100,97,96,100,96,.,.,.,95,100,96,100,-1,100,86,100,87,97,100,97,90,100,90,82,-1,-1,66,.,71,94,100,95,85,100,85,81,.,81,97,100,98
'227913101,94,.,90,93,.,100,.,.,.,87,.,88,-1,.,-1,72,.,75,84,.,85,75,.,77,-1,.,-1,60,.,64,90,.,91,71,.,72,58,.,63,96,.,96
'227913102,100,.,100,100,.,100,.,.,.,96,.,97,71,.,-1,84,.,83,99,.,99,96,.,98,.,.,.,90,.,100,94,.,96,87,.,89,77,.,74,96,.,97
'227913103,96,.,100,97,.,100,.,.,.,91,.,94,83,.,78,72,.,75,92,.,95,71,.,74,-1,.,-1,100,.,100,90,.,93,77,.,79,77,.,82,93,.,96
'227913104,100,.,100,100,.,100,.,.,.,99,.,99,-1,.,-1,100,.,100,100,.,100,97,.,98,-1,.,-1,100,.,100,99,.,99,100,.,100,100,.,100,100,.,100
'227913105,100,.,100,100,.,100,.,.,.,95,.,96,-1,.,-1,87,.,90,95,.,97,87,.,90,-1,.,-1,79,.,83,95,.,96,82,.,87,88,.,88,97,.,98
'227913106,100,.,100,100,.,-1,-1,.,-1,92,.,93,-1,.,.,88,.,84,96,.,98,89,.,87,.,.,.,-1,.,-1,88,.,88,73,.,76,76,.,91,92,.,93
