CAMPUS,CD000A001S19R,CD000AM01S19R,CD000AR01S19R,CD200A001S19R,CD200AM01S19R,CD200AR01S19R,CD300A001S19R,CD300AM01S19R,CD300AR01S19R,CD400A001S19R,CD400AM01S19R,CD400AR01S19R,CDA00A001S19R,CDA00AM01S19R,CDA00AR01S19R,CDB00A001S19R,CDB00AM01S19R,CDB00AR01S19R,CDE00A001S19R,CDE00AM01S19R,CDE00AR01S19R,CDF00A001S19R,CDF00AM01S19R,CDF00AR01S19R,CDH00A001S19R,CDH00AM01S19R,CDH00AR01S19R,CDI00A001S19R,CDI00AM01S19R,CDI00AR01S19R,CDL00A001S19R,CDL00AM01S19R,CDL00AR01S19R,CDM00A001S19R,CDM00AM01S19R,CDM00AR01S19R,CDR00A001S19R,CDR00AM01S19R,CDR00AR01S19R,CDS00A001S19R,CDS00AM01S19R,CDS00AR01S19R,CDW00A001S19R,CDW00AM01S19R,CDW00AR01S19R,CNC00A001S19R,CNC00AM01S19R,CNC00AR01S19R,CNM00A001S19R,CNM00AM01S19R,CNM00AR01S19R,CNS00A001S19R,CNS00AM01S19R,CNS00AR01S19R
'227806044,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806045,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806046,-1,.,-1,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,-1,.,-1,-1,.,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.
'227806049,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806051,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806052,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227814001,86,100,87,100,100,100,97,97,100,-1,.,.,96,97,97,93,94,89,.,.,.,96,98,97,95,97,95,-1,-1,-1,85,100,86,96,95,97,87,93,90,82,-1,-1,96,96,98,98,99,98,95,95,97,84,86,86
'227816001,60,74,61,67,100,67,86,93,87,.,.,.,63,75,65,65,71,65,63,76,65,65,73,70,61,74,63,.,.,.,54,70,56,61,77,60,57,71,58,37,49,35,67,73,73,64,76,65,61,74,65,86,100,60
'227816002,76,87,68,88,92,88,91,92,86,.,.,.,80,87,75,76,78,73,77,83,72,83,85,78,77,84,71,-1,.,-1,67,82,58,78,88,73,75,85,68,48,64,27,90,100,85,87,92,81,74,83,70,84,90,77
'227816003,73,84,72,94,93,93,88,93,88,.,.,.,82,89,80,86,88,86,78,87,74,86,91,85,71,84,66,.,.,.,69,82,68,78,87,73,72,82,68,32,62,15,89,93,84,86,92,83,78,84,75,67,-1,-1
'227816004,80,85,80,57,50,60,90,93,87,.,.,.,85,85,85,81,82,82,81,82,82,86,86,86,79,79,83,.,.,.,73,81,73,84,85,84,74,76,76,50,41,48,90,89,89,91,90,92,78,80,78,85,60,-1
'227816005,65,77,60,-1,-1,-1,100,-1,-1,.,.,.,68,79,64,78,86,79,65,77,62,71,79,70,66,77,62,.,.,.,63,75,58,65,78,59,61,73,56,27,36,18,89,90,90,76,83,75,57,73,49,55,-1,-1
'227816006,78,85,81,84,88,88,91,94,91,100,-1,-1,84,86,85,70,72,69,84,86,83,87,88,92,82,84,84,.,.,.,74,82,77,81,85,79,69,74,71,49,46,54,88,90,90,87,91,87,81,81,82,.,.,.
'227816101,75,87,67,75,-1,-1,100,-1,-1,100,-1,-1,77,86,69,78,82,85,77,87,70,79,89,75,76,86,68,.,.,.,70,84,61,74,84,64,72,83,63,41,50,35,92,100,88,79,88,71,73,84,67,63,67,50
'227817001,63,76,66,92,-1,-1,100,-1,100,.,.,.,81,89,82,71,83,69,75,85,78,75,89,77,74,87,77,.,.,.,58,67,62,89,89,89,63,75,65,38,44,39,100,100,100,76,88,79,86,91,85,83,-1,-1
'227817101,73,81,74,67,-1,-1,.,.,.,.,.,.,80,87,80,93,97,97,79,86,80,88,92,90,78,85,77,.,.,.,66,76,67,74,82,72,72,80,74,22,36,21,100,-1,-1,79,85,80,81,89,80,100,-1,-1
'227819101,77,75,88,91,75,100,100,-1,-1,.,.,.,86,87,91,79,83,67,78,76,84,85,85,90,83,84,89,.,.,.,75,73,87,87,88,92,79,77,87,53,53,53,96,100,100,88,90,91,81,79,91,67,-1,-1
'227820001,69,35,57,.,.,.,.,.,.,.,.,.,80,43,71,89,-1,87,78,41,70,89,46,85,79,42,71,.,.,.,56,35,47,73,42,61,71,40,58,42,33,30,-1,.,-1,81,44,73,65,-1,52,-1,-1,-1
'227820002,68,62,58,-1,.,-1,-1,.,-1,.,.,.,76,64,67,83,-1,83,76,65,67,80,57,74,75,64,66,.,.,.,61,60,53,73,68,61,71,60,58,42,45,26,100,-1,-1,80,67,72,65,62,54,33,-1,20
'227820013,73,63,62,-1,.,-1,71,-1,69,.,.,.,85,70,78,87,79,79,86,73,79,87,68,80,85,66,78,100,-1,-1,64,63,50,83,71,76,71,52,62,36,36,26,-1,.,-1,.,.,.,85,70,78,57,-1,-1
'227820014,73,40,68,.,.,.,.,.,.,.,.,.,80,53,74,71,44,62,80,48,75,82,59,78,81,55,75,100,-1,-1,66,38,60,78,50,71,64,35,56,43,23,34,86,-1,-1,.,.,.,80,53,74,-1,.,-1
'227820015,61,43,50,40,.,-1,.,.,.,.,.,.,72,65,63,71,68,62,73,66,65,81,77,75,72,63,64,.,.,.,56,43,47,62,52,52,60,40,50,31,36,15,-1,.,-1,.,.,.,72,65,63,33,-1,40
'227820016,65,67,45,75,-1,-1,-1,.,.,.,.,.,71,65,59,70,63,58,70,65,58,78,82,66,72,68,60,-1,.,-1,59,65,35,63,52,53,57,56,42,27,31,13,-1,.,-1,.,.,.,71,65,59,50,-1,33
'227820017,76,69,67,-1,-1,-1,76,80,75,.,.,.,84,73,79,81,60,73,83,72,77,86,75,84,85,73,81,-1,.,-1,75,69,65,81,70,72,77,72,66,61,55,46,.,.,.,-1,-1,-1,83,72,79,-1,.,-1
'227820020,55,58,46,.,.,.,-1,.,-1,.,.,.,74,58,67,64,-1,67,73,56,64,79,73,72,74,59,66,-1,.,-1,55,58,46,70,53,63,57,52,48,42,45,33,100,.,100,.,.,.,74,58,67,75,.,60
'227820030,68,84,59,-1,.,-1,.,.,.,-1,.,-1,63,69,60,61,61,60,63,71,59,71,74,69,67,81,60,.,.,.,68,84,59,59,66,55,66,83,55,.,.,.,.,.,.,.,.,.,63,69,60,31,53,11
'227820041,80,85,79,60,-1,-1,-1,-1,-1,.,.,.,84,87,82,72,78,67,83,87,82,88,90,86,84,88,82,.,.,.,75,81,73,79,85,78,76,81,75,38,52,37,86,89,89,85,89,82,77,78,81,59,83,50
'227820042,76,84,73,88,-1,-1,-1,-1,-1,.,.,.,81,87,79,57,67,54,79,86,77,87,90,86,82,89,80,-1,-1,-1,70,80,67,76,84,72,75,83,74,50,58,43,82,80,80,81,86,79,83,91,77,71,80,80
'227820043,74,76,71,77,-1,-1,.,.,.,.,.,.,78,80,75,63,56,67,77,79,74,82,82,82,79,80,76,.,.,.,69,71,66,74,78,69,67,69,64,34,38,29,63,80,40,80,83,77,72,72,71,72,86,71
'227820044,69,74,65,77,100,60,-1,-1,-1,.,.,.,74,77,72,69,71,68,74,77,71,78,83,75,75,78,72,.,.,.,67,72,63,72,73,69,71,75,68,28,35,25,56,67,67,82,83,80,67,72,64,76,75,83
'227820050,81,87,86,91,-1,-1,90,100,89,.,.,.,87,91,90,93,96,95,87,91,90,90,94,91,84,89,88,100,100,100,74,85,79,85,88,89,73,83,79,40,47,58,73,-1,-1,.,.,.,87,91,90,75,-1,-1
'227820051,82,84,80,.,.,.,-1,-1,-1,.,.,.,83,85,83,80,77,83,82,85,82,83,84,84,83,86,82,.,.,.,71,76,70,83,86,81,71,75,71,46,53,38,88,-1,-1,.,.,.,83,85,83,-1,-1,-1
