CAMPUS,CD000A001S19R,CD000AM01S19R,CD000AR01S19R,CD200A001S19R,CD200AM01S19R,CD200AR01S19R,CD300A001S19R,CD300AM01S19R,CD300AR01S19R,CD400A001S19R,CD400AM01S19R,CD400AR01S19R,CDA00A001S19R,CDA00AM01S19R,CDA00AR01S19R,CDB00A001S19R,CDB00AM01S19R,CDB00AR01S19R,CDE00A001S19R,CDE00AM01S19R,CDE00AR01S19R,CDF00A001S19R,CDF00AM01S19R,CDF00AR01S19R,CDH00A001S19R,CDH00AM01S19R,CDH00AR01S19R,CDI00A001S19R,CDI00AM01S19R,CDI00AR01S19R,CDL00A001S19R,CDL00AM01S19R,CDL00AR01S19R,CDM00A001S19R,CDM00AM01S19R,CDM00AR01S19R,CDR00A001S19R,CDR00AM01S19R,CDR00AR01S19R,CDS00A001S19R,CDS00AM01S19R,CDS00AR01S19R,CDW00A001S19R,CDW00AM01S19R,CDW00AR01S19R,CNC00A001S19R,CNC00AM01S19R,CNC00AR01S19R,CNM00A001S19R,CNM00AM01S19R,CNM00AR01S19R,CNS00A001S19R,CNS00AM01S19R,CNS00AR01S19R
'227901175,73,78,78,.,.,.,.,.,.,.,.,.,73,76,79,60,56,67,73,76,78,78,78,83,74,78,79,-1,-1,-1,73,78,78,68,74,74,70,74,76,49,53,57,60,-1,-1,74,78,78,69,69,81,79,83,83
'227901176,72,82,70,67,-1,-1,-1,-1,-1,.,.,.,74,81,74,81,75,92,72,80,71,79,83,79,73,81,72,-1,-1,-1,71,81,69,69,78,69,68,79,66,54,71,46,80,78,78,75,84,74,67,64,76,-1,-1,-1
'227901177,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901178,74,82,69,.,.,.,.,.,.,.,.,.,73,77,71,71,58,75,72,76,70,71,72,70,73,80,70,80,-1,-1,74,82,69,77,85,72,71,78,68,40,47,42,78,-1,-1,72,78,69,76,71,79,63,-1,-1
'227901179,66,62,72,81,80,85,95,96,96,.,.,.,77,75,80,29,22,39,50,45,54,84,78,87,62,57,67,-1,-1,-1,66,60,72,72,73,73,51,51,56,30,36,25,87,87,88,81,79,83,64,62,68,50,-1,-1
'227901180,100,100,100,98,95,100,99,100,100,.,.,.,97,98,99,79,83,67,80,83,83,97,98,99,97,98,100,-1,-1,-1,100,100,100,97,98,99,92,96,96,86,91,89,97,98,99,97,98,99,97,99,99,94,92,100
'227901181,87,91,88,96,94,100,95,97,91,.,.,.,94,93,96,100,100,100,88,89,93,94,92,97,91,90,96,-1,-1,-1,76,87,78,94,95,96,77,76,85,76,75,85,95,94,97,95,93,97,89,95,93,98,100,93
'227901182,86,93,88,95,100,96,94,91,96,.,.,.,92,95,95,87,93,87,85,91,87,92,95,95,87,96,94,80,-1,-1,81,90,86,92,96,95,78,88,88,69,77,77,95,95,96,92,95,95,93,96,95,100,100,100
'227901183,66,74,65,89,90,90,86,93,86,.,.,.,84,87,85,63,79,64,73,74,74,87,90,89,80,83,82,.,.,.,60,70,59,81,84,81,58,61,67,51,53,58,88,91,89,84,87,86,83,89,79,89,82,91
'227901184,93,97,94,94,96,100,97,99,97,.,.,.,94,94,96,63,-1,-1,69,64,73,95,96,97,88,87,89,.,.,.,84,93,87,93,93,95,82,89,89,76,79,81,95,95,97,94,94,95,94,95,97,100,100,100
'227901185,88,92,89,92,93,93,91,92,92,80,-1,-1,90,91,90,88,92,86,88,89,88,90,89,91,89,91,89,-1,-1,-1,88,92,89,90,93,89,87,89,88,63,62,63,95,96,94,91,92,91,87,89,86,100,100,100
'227901186,80,82,79,-1,-1,-1,64,75,63,-1,-1,-1,80,82,80,76,63,88,80,81,80,80,80,81,83,85,83,-1,-1,-1,80,82,79,80,83,80,79,81,79,37,35,35,23,20,20,81,83,81,78,77,77,77,78,78
'227901187,69,77,70,98,100,100,97,97,100,.,.,.,89,90,91,93,83,100,69,77,69,91,91,94,76,80,74,.,.,.,65,74,66,87,89,88,70,74,73,63,64,59,92,92,95,90,91,91,86,87,90,95,100,100
'227901188,79,88,75,40,-1,-1,.,.,.,.,.,.,78,88,74,69,78,78,78,87,74,81,88,79,79,88,74,.,.,.,79,88,75,76,87,71,78,87,74,28,48,19,.,.,.,79,88,74,78,87,77,85,100,75
'227901189,73,85,72,-1,-1,-1,-1,-1,-1,.,.,.,73,81,72,69,76,72,73,81,73,73,81,74,73,82,72,.,.,.,73,84,72,72,82,70,70,80,70,44,52,42,-1,-1,-1,74,83,73,68,74,70,80,-1,-1
'227901190,69,73,76,-1,-1,-1,.,.,.,.,.,.,68,73,72,62,54,69,67,71,72,73,77,76,68,74,72,.,.,.,69,73,76,63,68,68,64,71,70,36,39,43,89,86,86,67,71,71,76,82,82,71,80,80
'227901192,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901193,64,73,64,-1,-1,-1,.,.,.,.,.,.,62,72,61,43,60,40,62,72,61,60,72,60,62,73,61,.,.,.,63,73,64,64,72,63,60,70,60,39,40,40,83,-1,-1,65,73,64,55,69,54,45,-1,-1
'227901194,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901197,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901249,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901250,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901251,78,-1,-1,.,.,.,-1,-1,-1,.,.,.,87,83,83,.,.,.,83,80,80,-1,-1,-1,67,-1,-1,.,.,.,78,-1,-1,100,100,100,87,83,83,87,83,83,100,-1,-1,100,-1,-1,60,-1,-1,.,.,.
'227904001,79,82,69,83,100,68,95,100,92,-1,-1,-1,81,78,72,73,71,61,72,71,60,86,85,79,80,80,70,78,-1,-1,57,70,41,76,72,66,66,67,52,47,46,31,87,75,83,83,81,75,73,72,62,78,63,70
'227904003,62,63,51,66,20,61,81,76,75,-1,.,-1,70,61,61,69,58,58,66,58,56,75,69,68,67,61,56,-1,-1,-1,49,57,35,65,53,55,59,56,47,41,39,27,80,59,76,75,64,66,62,56,52,63,22,57
'227904004,76,93,64,89,95,82,94,100,89,-1,.,.,88,90,80,80,81,70,79,83,67,93,97,88,86,89,78,100,-1,-1,57,86,41,83,84,73,73,83,57,53,67,38,92,93,86,90,92,83,81,85,71,93,-1,86
'227904005,61,57,53,85,79,80,88,100,82,80,.,-1,79,66,71,72,69,61,71,62,62,86,74,80,75,61,67,-1,.,-1,44,50,30,73,61,63,64,57,52,31,32,14,88,70,84,83,68,75,72,64,64,90,100,79
'227904008,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227904041,68,77,68,84,87,87,91,95,89,60,-1,-1,70,77,71,56,62,59,62,70,64,75,82,77,66,76,67,-1,-1,-1,52,65,53,65,73,65,51,62,52,26,30,21,81,86,82,74,80,74,59,68,62,75,85,71
'227904042,68,80,68,72,79,79,76,82,73,-1,-1,-1,68,75,67,56,58,58,63,72,63,71,79,70,69,78,69,.,.,.,59,75,57,65,72,65,57,68,56,28,34,25,76,84,71,72,78,70,62,71,63,81,89,67
'227904043,82,87,83,91,96,88,95,100,96,-1,-1,-1,84,89,83,76,82,75,78,84,76,86,90,86,84,87,82,100,-1,-1,66,74,69,83,88,81,68,77,66,47,58,44,89,93,88,86,91,86,79,84,76,83,90,80
'227904045,63,68,62,71,60,60,87,92,86,-1,-1,-1,63,68,62,59,61,57,61,65,60,67,69,67,59,64,57,100,-1,-1,51,58,49,60,66,57,51,57,48,28,31,27,72,70,74,69,73,68,54,59,52,44,50,33
'227904046,80,88,87,85,82,86,94,99,94,100,-1,-1,89,91,89,80,84,82,81,86,84,90,91,92,86,90,89,100,-1,-1,70,81,80,87,91,87,69,76,71,47,56,44,92,94,92,90,92,91,83,87,83,82,82,86
'227904048,76,86,73,87,94,85,92,96,93,-1,-1,-1,84,89,82,78,83,78,74,83,71,87,91,87,79,86,75,100,-1,-1,61,76,56,81,87,78,66,76,62,47,57,40,90,93,91,85,90,84,82,87,79,96,100,90
'227904101,76,78,79,100,100,100,96,100,100,.,.,.,84,84,86,93,88,96,77,78,79,84,83,86,77,78,80,-1,-1,-1,73,75,76,83,86,85,69,70,73,47,50,53,89,93,90,86,86,88,78,79,79,54,40,80
'227904102,85,84,87,100,-1,-1,95,93,93,.,.,.,85,84,88,79,75,85,82,82,87,88,85,92,83,83,86,.,.,.,84,84,86,82,83,83,82,80,86,51,47,65,98,100,93,87,86,88,81,81,87,78,-1,-1
'227904103,74,75,77,66,64,64,82,76,88,80,-1,-1,61,64,68,47,45,51,53,55,58,67,62,75,60,65,66,.,.,.,64,67,65,58,65,63,46,48,53,36,45,37,70,74,81,66,70,72,54,53,61,50,38,63
'227904104,63,69,64,69,69,77,80,88,77,.,.,.,63,67,67,54,58,63,60,62,65,63,63,71,54,56,56,.,.,.,61,67,61,63,69,63,53,58,57,35,44,33,86,87,85,68,73,70,59,61,63,71,-1,-1
'227904105,65,71,64,77,78,78,90,94,88,.,.,.,64,68,63,57,62,56,63,67,63,65,66,66,62,67,62,.,.,.,63,70,63,63,71,61,58,64,58,26,36,23,74,75,75,66,70,66,60,67,60,40,44,44
'227904106,87,93,93,73,80,73,97,100,100,.,.,.,82,87,85,77,80,83,78,83,83,84,88,87,79,86,82,.,.,.,76,86,86,80,87,83,64,74,69,45,58,52,89,95,91,83,88,86,78,85,82,75,71,71
'227904107,76,83,74,40,50,33,88,100,80,.,.,.,75,82,76,77,85,79,72,80,73,76,77,78,75,80,76,.,.,.,75,83,73,74,86,73,69,77,67,42,57,46,72,84,76,79,81,78,71,82,73,87,100,80
'227904108,77,78,85,91,89,94,90,89,89,.,.,.,75,74,82,59,62,69,66,67,72,78,77,84,73,72,79,.,.,.,62,65,76,73,71,80,55,55,67,56,58,58,81,76,88,79,77,84,69,68,78,63,-1,-1
'227904109,72,73,75,100,-1,-1,97,100,100,.,.,.,74,77,78,60,69,69,72,74,76,75,80,81,74,76,77,.,.,.,70,71,74,73,73,75,66,69,70,31,33,40,75,74,83,76,78,81,68,73,70,78,100,75
'227904110,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227904111,84,89,86,50,86,43,89,100,86,.,.,.,76,80,80,70,70,78,75,77,80,76,78,83,77,79,82,.,.,.,84,89,86,76,81,78,73,75,77,50,62,52,84,88,81,83,88,85,65,64,72,59,57,57
'227904112,92,96,92,98,100,100,96,100,93,100,-1,-1,93,95,94,83,91,87,86,91,91,95,96,97,92,93,93,-1,-1,-1,88,93,86,91,94,92,76,81,76,52,64,50,96,95,96,94,94,95,93,96,92,93,90,90
'227904113,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227904114,78,85,76,82,-1,-1,73,83,67,-1,-1,-1,78,83,77,65,71,68,72,78,72,80,85,81,78,84,76,-1,-1,-1,76,83,73,75,81,72,68,75,66,41,54,38,87,91,91,80,86,79,71,76,74,50,-1,-1
'227904115,89,88,88,93,88,100,96,97,95,100,-1,-1,93,93,95,93,89,97,90,86,95,94,93,97,91,88,96,-1,-1,-1,86,83,83,93,93,93,76,74,79,76,80,78,94,96,94,94,93,95,92,93,94,95,100,100
'227904116,84,91,85,85,90,86,96,100,93,.,.,.,89,93,89,82,83,83,84,91,83,89,91,92,89,94,91,100,-1,-1,81,89,82,89,95,87,73,82,75,57,70,62,89,94,90,88,92,89,91,95,91,100,100,100
'227904117,87,91,88,56,57,57,94,97,92,.,.,.,76,77,78,68,67,70,74,75,77,79,78,82,67,66,76,.,.,.,84,89,85,73,76,74,66,69,67,44,42,48,71,74,68,78,78,82,72,75,70,53,67,67
'227904118,82,90,90,89,100,89,94,100,90,-1,-1,-1,87,90,89,73,74,84,84,85,85,87,90,88,83,85,88,.,.,.,74,86,90,87,89,91,65,72,70,61,67,58,92,93,92,89,89,92,83,91,84,88,100,100
'227904119,81,87,75,71,-1,-1,.,.,.,.,.,.,81,88,76,79,87,80,81,87,75,84,90,80,81,87,74,.,.,.,80,87,74,79,85,73,80,87,74,38,49,35,95,94,100,81,86,76,82,92,78,71,-1,-1
'227904120,70,79,70,87,79,100,78,86,77,100,-1,-1,77,80,78,69,67,77,66,69,68,78,82,80,70,77,69,.,.,.,60,72,59,75,78,77,62,66,64,48,53,50,91,93,90,79,82,79,73,77,78,100,-1,-1
'227904121,75,77,74,91,100,100,93,96,89,.,.,.,84,85,87,80,78,86,75,79,79,86,87,90,79,81,81,-1,-1,-1,68,72,68,81,84,84,67,71,70,54,61,61,87,88,93,84,87,86,82,82,89,90,88,88
'227907001,53,67,39,51,13,50,63,67,53,-1,.,-1,63,67,52,65,65,56,62,67,50,72,76,63,63,69,50,.,.,.,46,64,30,55,61,42,55,63,43,29,32,18,66,68,57,65,67,54,60,66,48,40,-1,22
'227907002,17,.,11,.,.,.,-1,.,-1,.,.,.,30,-1,18,38,-1,33,28,-1,12,36,-1,18,28,-1,9,.,.,.,14,.,11,26,-1,18,30,-1,18,18,-1,-1,23,-1,14,21,-1,11,48,-1,33,.,.,.
'227907004,82,91,72,85,-1,83,100,-1,100,-1,.,-1,84,91,75,77,90,57,82,89,73,87,94,79,84,90,74,-1,.,-1,68,91,50,82,88,72,76,86,64,54,75,40,92,92,91,84,89,73,87,94,80,-1,-1,-1
'227907041,53,58,56,73,75,75,84,90,70,-1,-1,-1,58,61,61,52,47,55,57,59,60,62,63,67,58,62,61,86,-1,-1,51,57,54,54,59,55,52,55,54,25,28,30,68,67,69,57,59,59,59,63,64,50,40,50
'227907042,63,69,66,87,93,93,78,90,74,.,.,.,64,69,67,58,63,59,62,67,65,67,71,72,64,68,68,-1,-1,-1,61,68,65,61,66,62,58,63,61,29,33,31,69,79,79,67,70,69,60,67,64,73,75,63
'227907043,70,75,70,73,70,87,87,91,91,-1,-1,-1,72,72,74,68,64,70,69,69,69,77,73,78,71,72,72,.,.,.,61,68,59,68,70,70,60,58,63,52,46,54,81,81,82,71,72,73,75,73,76,83,86,100
'227907101,66,74,64,56,-1,-1,-1,-1,-1,-1,-1,-1,65,71,66,66,64,82,65,72,65,71,70,77,63,70,64,.,.,.,65,73,63,60,72,58,61,68,63,28,33,27,80,89,78,65,70,67,64,73,64,67,-1,-1
'227907102,72,80,69,89,89,89,78,77,77,.,.,.,74,78,73,67,76,69,67,72,65,75,78,74,74,78,69,.,.,.,71,79,68,74,78,71,69,74,67,56,50,60,75,77,77,77,80,75,68,72,68,100,-1,-1
'227907104,70,79,60,100,-1,-1,.,.,.,.,.,.,71,82,63,73,88,68,70,80,61,80,91,75,71,80,62,.,.,.,69,79,60,64,73,53,70,80,61,31,46,23,-1,-1,-1,69,80,59,74,84,68,94,100,83
'227907105,82,87,82,67,80,60,-1,-1,-1,-1,-1,-1,78,83,78,63,71,57,75,81,75,77,81,78,80,86,81,.,.,.,81,87,82,78,85,78,74,80,74,36,41,35,77,76,85,81,86,81,71,75,73,36,40,40
'227907106,65,69,65,62,60,60,73,75,83,-1,-1,-1,67,69,67,75,80,74,65,68,66,69,70,73,63,65,63,-1,-1,-1,64,68,64,65,69,60,61,65,61,47,48,48,82,84,74,63,66,60,75,75,78,25,-1,-1
'227907107,68,80,64,90,-1,-1,86,80,100,.,.,.,67,77,66,58,63,60,66,75,66,69,72,72,68,78,65,.,.,.,68,80,64,67,80,61,65,75,64,65,69,56,100,-1,-1,66,76,66,71,79,66,80,-1,-1
'227907108,79,86,80,95,94,100,91,94,90,-1,-1,-1,76,81,80,63,67,70,72,78,76,78,80,86,74,84,78,.,.,.,79,86,80,74,82,74,70,79,75,59,72,56,84,79,89,76,80,80,76,83,79,-1,-1,-1
'227907109,71,78,72,70,100,75,100,-1,-1,.,.,.,74,80,74,71,73,72,72,78,73,74,79,74,76,81,76,.,.,.,71,78,72,74,80,75,67,75,66,66,77,63,69,81,67,75,80,76,74,80,72,68,78,67
'227907110,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227907111,83,94,77,80,83,67,100,-1,-1,.,.,.,82,89,77,80,82,75,81,90,76,84,90,80,83,93,78,.,.,.,82,94,76,80,88,74,77,87,69,66,76,65,73,83,67,82,89,77,81,90,76,86,100,90
'227909001,94,100,88,98,91,98,100,100,99,-1,.,.,98,95,97,86,.,71,93,89,91,98,94,98,96,91,94,100,.,-1,88,100,73,97,97,96,90,91,83,84,81,76,98,97,97,98,94,97,98,99,95,100,100,100
'227909005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227909041,99,100,97,97,98,96,98,99,98,100,-1,-1,96,97,96,80,86,86,96,97,97,96,97,97,96,97,95,43,-1,-1,100,100,100,96,97,96,72,75,73,61,64,63,96,97,96,96,97,96,96,98,96,100,100,100
'227909042,94,95,95,98,98,98,98,99,99,-1,-1,-1,95,97,95,77,71,86,84,88,86,96,97,96,95,97,95,64,-1,-1,75,-1,80,95,96,95,70,75,69,69,74,68,95,96,95,96,98,96,91,92,92,98,100,96
'227909101,86,77,92,93,88,100,92,96,91,.,.,.,92,94,94,.,.,.,64,-1,-1,92,93,95,83,84,91,.,.,.,81,70,90,92,94,93,70,74,77,66,69,68,94,96,95,93,93,95,89,96,92,89,83,100
'227909102,81,87,80,95,93,93,92,96,91,.,.,.,95,96,96,93,83,100,87,92,92,95,96,96,92,96,94,.,.,.,72,80,70,95,96,95,83,86,86,72,73,77,97,97,97,96,97,97,92,94,92,92,100,80
'227909103,52,53,73,91,88,94,100,100,100,.,.,.,89,91,93,-1,-1,-1,57,58,68,91,92,95,76,75,88,.,.,.,43,42,67,87,89,92,48,48,65,54,54,63,91,95,95,89,91,94,86,88,90,100,100,100
'227909104,95,100,91,100,100,100,97,100,96,.,.,.,98,99,99,100,-1,-1,92,100,100,98,99,98,99,100,97,.,.,.,75,100,60,98,100,99,74,89,67,91,93,93,99,99,99,99,99,99,96,100,98,100,100,100
'227909105,92,95,91,100,100,100,96,97,96,.,.,.,95,97,95,-1,-1,-1,100,-1,-1,96,97,95,96,96,96,.,.,.,89,100,85,95,97,95,91,93,90,69,86,66,94,97,94,97,98,97,91,96,89,100,100,100
'227909106,94,100,100,95,93,100,99,100,100,.,.,.,95,97,97,60,-1,-1,88,78,100,95,97,98,94,100,100,.,.,.,88,-1,-1,96,97,96,76,78,94,78,83,78,96,97,96,95,97,96,96,97,100,81,83,83
'227910001,62,79,47,80,78,76,70,75,50,.,.,.,68,78,55,62,77,45,68,78,54,74,86,63,68,78,55,-1,-1,-1,57,77,41,62,72,47,60,75,46,45,65,27,77,86,63,70,80,57,61,73,49,75,-1,-1
'227910002,26,42,14,.,.,.,.,.,.,.,.,.,37,50,22,20,-1,0,38,53,23,38,50,26,37,56,22,-1,.,.,25,42,13,35,50,17,36,50,22,14,.,-1,-1,.,-1,41,57,22,34,46,22,.,.,.
'227910005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227910041,64,70,61,92,100,88,72,78,78,.,.,.,65,70,64,56,57,64,64,69,63,68,72,69,65,70,64,.,.,.,58,66,57,62,68,60,57,64,57,30,40,27,71,75,75,68,74,66,55,59,60,.,.,.
'227910042,60,71,57,63,50,63,-1,-1,-1,.,.,.,59,67,57,46,51,45,58,66,56,67,72,67,60,68,58,.,.,.,55,68,51,51,61,48,54,62,52,22,29,17,66,72,69,63,70,62,51,59,48,25,43,17
'227910043,59,70,58,83,100,85,54,80,40,.,.,.,60,69,59,56,60,51,60,69,57,63,72,62,60,69,58,44,-1,-1,52,65,50,58,67,56,51,61,49,31,36,26,75,76,79,62,72,60,56,63,55,67,-1,-1
'227910101,65,72,67,70,75,63,100,-1,-1,.,.,.,57,64,59,36,40,35,58,65,60,59,64,65,57,64,59,.,.,.,63,70,65,56,63,54,50,56,50,21,30,24,100,100,100,60,66,62,50,57,54,.,.,.
'227910106,69,75,62,-1,-1,-1,.,.,.,.,.,.,71,73,66,80,78,78,68,71,64,75,76,73,71,74,66,.,.,.,68,74,61,67,70,59,67,70,62,55,67,44,60,45,55,74,78,68,66,64,63,.,.,.
'227910107,63,65,62,.,.,.,-1,-1,-1,.,.,.,64,68,63,58,45,73,64,66,63,66,69,65,65,70,63,.,.,.,62,64,60,63,66,62,60,63,59,40,36,44,56,43,57,67,71,64,60,62,62,-1,-1,-1
'227910108,71,78,67,67,-1,-1,-1,-1,-1,.,.,.,64,72,61,55,57,62,63,72,60,61,71,54,65,74,61,.,.,.,71,78,67,67,73,67,60,70,56,38,45,40,50,-1,-1,64,75,58,63,66,65,50,-1,-1
'227910109,49,53,47,100,-1,-1,-1,-1,-1,.,.,.,57,61,57,61,60,65,54,59,54,58,59,62,54,59,54,.,.,.,47,51,44,55,63,53,47,51,48,13,15,12,65,71,62,59,64,56,53,57,59,44,-1,-1
'227910110,66,74,67,93,100,100,100,-1,-1,-1,-1,-1,63,69,68,52,60,57,61,67,65,66,68,72,63,68,67,.,.,.,63,71,65,61,70,63,55,62,59,17,25,17,74,75,81,64,68,68,62,69,66,47,50,50
'227910111,65,71,72,.,.,.,-1,-1,-1,.,.,.,62,66,69,67,-1,-1,63,65,71,62,66,69,61,65,68,.,.,.,63,70,70,62,66,69,59,64,66,32,39,36,85,88,81,64,68,69,57,60,69,25,-1,-1
'227910112,59,69,59,97,100,100,100,-1,-1,.,.,.,63,68,66,67,65,65,62,68,65,64,68,68,60,66,64,.,.,.,58,67,58,62,67,64,55,61,58,44,54,41,71,67,73,67,71,69,54,59,59,81,83,83
'227910113,53,62,56,40,-1,-1,.,.,.,.,.,.,57,64,60,64,-1,-1,56,64,59,60,67,66,57,64,60,.,.,.,52,61,55,55,61,54,52,60,54,37,49,32,64,-1,-1,60,68,59,53,57,63,33,40,20
'227912001,85,100,67,83,100,68,100,-1,-1,-1,-1,-1,89,92,82,50,-1,-1,87,89,80,91,95,86,84,83,77,-1,-1,-1,72,-1,43,87,91,80,70,78,56,46,64,23,90,93,85,91,94,85,86,91,78,76,-1,33
'227912041,70,82,71,91,95,100,.,.,.,-1,-1,-1,84,88,85,57,-1,-1,73,79,75,85,87,91,75,85,78,61,83,67,41,56,44,82,89,81,60,66,62,55,55,55,86,89,87,85,91,84,82,84,88,83,100,79
'227912101,68,73,64,90,80,100,.,.,.,.,.,.,91,91,92,.,.,.,78,75,80,88,87,90,77,69,85,.,.,.,68,73,64,95,96,93,78,78,78,81,75,88,97,100,94,92,93,91,89,86,93,100,100,100
'227912102,62,70,65,92,85,100,.,.,.,.,.,.,85,85,90,.,.,.,78,77,87,89,87,96,77,77,82,-1,-1,-1,41,54,46,81,84,85,49,54,54,44,48,56,87,88,92,86,85,90,84,85,90,100,100,100
'227913001,68,78,53,95,86,95,99,100,98,100,.,-1,92,87,89,82,92,65,73,69,64,94,88,92,84,81,77,-1,.,-1,57,69,39,90,86,86,81,77,73,57,55,46,94,89,92,93,88,90,89,83,84,94,89,92
'227913041,81,89,72,92,93,87,98,100,96,.,.,.,91,94,89,86,90,81,81,88,78,93,95,91,86,91,84,100,100,100,67,79,54,89,93,87,69,77,63,55,57,57,92,94,90,91,94,89,91,94,88,98,100,95
'227913042,74,84,66,96,98,93,95,96,95,.,.,.,92,94,90,75,67,83,80,84,76,93,96,91,84,90,80,100,-1,-1,71,82,62,91,93,89,76,81,69,66,67,63,95,96,94,92,94,90,91,94,90,96,94,94
'227913101,66,74,69,100,100,100,85,86,86,.,.,.,79,81,82,88,-1,-1,68,72,72,79,81,82,69,75,74,.,.,.,66,74,68,80,82,83,66,74,71,40,40,51,89,88,91,78,81,80,83,81,91,80,91,73
'227913102,95,94,94,90,90,90,98,100,94,.,.,.,93,93,94,82,86,86,86,83,96,93,91,95,90,87,96,-1,-1,-1,92,89,89,92,94,94,71,77,77,68,69,72,93,94,95,93,94,94,91,90,95,96,88,100
'227913103,90,94,89,98,100,100,97,98,98,.,.,.,90,90,92,81,83,83,76,68,89,92,90,94,84,80,89,.,.,.,83,100,78,89,91,90,73,77,77,61,67,60,90,91,92,91,92,91,90,88,93,83,88,89
'227913104,91,92,92,97,100,100,95,94,97,.,.,.,95,96,95,86,100,80,90,92,92,97,98,97,95,95,93,-1,-1,-1,82,86,86,93,95,94,80,83,83,78,77,83,95,97,96,95,96,96,94,98,94,100,100,100
'227913105,94,100,100,92,91,96,89,93,93,.,.,.,91,91,94,86,86,86,80,80,87,91,90,93,88,90,92,-1,-1,-1,91,-1,-1,92,92,95,71,74,79,58,61,68,92,91,94,91,91,94,91,91,94,86,100,100
'227913106,83,78,89,98,100,100,100,100,100,100,-1,-1,90,90,93,-1,-1,-1,76,72,88,89,89,92,81,81,82,.,.,.,73,67,83,91,91,94,71,69,82,64,68,68,90,91,94,90,90,93,89,90,92,88,89,94
